"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Nov 24 13:05:27 UTC 2022","Thu Nov 24 13:05:27 UTC 2022","0","e2e.basic.performance_tests.throughput_benchmark.tcp_udp_upstream_downstream_bidirection_throughput_test.wpa2_personal","test_nat_mode","TestThroughputUnderCombinationsNAT80MHz","","","test_client_wpa2_personal_5g_down_nss3_udp[setup_configuration0]","Dataplane THroughput NAT Mode
                           pytest -m ""throughput_benchmark_test and NAT and Mhz80 and wpa2_personal and fiveg and downstream and nss2 and udp and nss3 ""
                           jira-wifi-2573
                "
"skipped","Thu Nov 24 13:05:20 UTC 2022","Thu Nov 24 13:05:20 UTC 2022","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa_encryption","test_peak_throughput_wpa_40Mhz_2g","Test20Mhz2GChannel2PeakThroughput","","","test_client_wpa_bridge_udp_ul[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa and twog""
        "
"skipped","Thu Nov 24 13:05:18 UTC 2022","Thu Nov 24 13:05:18 UTC 2022","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa3_enterprise_encryption","test_peak_throughput_wpa3_eap_20Mhz_5g","TestCountryCA20Mhz5GChannel140PeakThroughput","","","test_client_wpa3_eap_eap_bridge_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and bridge and wpa3_enterprise and twog""
        "
"skipped","Thu Nov 24 13:05:16 UTC 2022","Thu Nov 24 13:05:16 UTC 2022","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_20Mhz_5g","TestCountryCA20Mhz5GChannel132PeakThroughput","","","test_client_wpa2_eap_bridge_tcp_dl[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and bridge and wpa2_enterprise and twog""
        "
"skipped","Thu Nov 24 13:05:22 UTC 2022","Thu Nov 24 13:05:22 UTC 2022","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa2_enterprise_encryption","test_peak_throughput_wpa2_eap_80Mhz_5g","Test80Mhz5GChannel132PeakThroughput","","","test_client_wpa2_eap_nat_tcp_ul[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa2_enterprise and twog""
        "
"skipped","Thu Nov 24 13:05:28 UTC 2022","Thu Nov 24 13:05:28 UTC 2022","0","e2e.basic.performance_tests.wifi_capacity_test.wpa2_personal","test_vlan_mode","TestWifiCapacityVLANMode2G","","","test_client_wpa2_VLAN_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test VLAN mode
            pytest -m ""wifi_capacity_test and VLAN and wpa2_personal and twog""
        "
"skipped","Thu Nov 24 13:05:24 UTC 2022","Thu Nov 24 13:05:24 UTC 2022","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa3_personal_encryption","test_peak_throughput_wpa3_20Mhz_2g","Test20Mhz2GChannel1PeakThroughput","","","test_client_wpa3_personal_nat_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa3_personal and twog""
        "
"skipped","Thu Nov 24 13:05:28 UTC 2022","Thu Nov 24 13:05:28 UTC 2022","0","e2e.basic.performance_tests.wifi_capacity_test.wpa2_personal","test_nat_mode","TestWifiCapacityNATMode5G","","","test_client_wpa2_NAT_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa2_personal and twog""
        "
"skipped","Thu Nov 24 13:05:27 UTC 2022","Thu Nov 24 13:05:27 UTC 2022","0","e2e.basic.performance_tests.throughput_benchmark.throughput_vs_various_pkt_sizes.wpa3_security","test_bridge_mode","TestThroughputVsPktWpa3Bridge2G","","","test_client_wpa3_personal_pkt_bridge_142_2g[setup_configuration0]","Throughput Vs Pkt Sizes Bridge Mode
           pytest -m ""throughput_vs_pkt and bridge and wpa3_personal and twog and pkt142""
        "
"skipped","Thu Nov 24 13:05:24 UTC 2022","Thu Nov 24 13:05:24 UTC 2022","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa3_enterprise_encryption","test_peak_throughput_wpa3_eap_40Mhz_2g","Test20Mhz2GChannel11PeakThroughput","","","test_client_wpa3_enterprise_nat_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa3_enterprise and twog""
        "
"skipped","Thu Nov 24 13:05:26 UTC 2022","Thu Nov 24 13:05:26 UTC 2022","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa_encryption","test_peak_throughput_wpa_40Mhz_2g","Test20Mhz2GChannel4PeakThroughput","","","test_client_wpa_nat_udp_bidirectional[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa and twog""
        "
"skipped","Thu Nov 24 13:05:20 UTC 2022","Thu Nov 24 13:05:20 UTC 2022","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa_encryption","test_peak_throughput_wpa_20Mhz_5g","TestCountryCA20Mhz5GChannel144PeakThroughput","","","test_client_wpa_bridge_tcp_ul[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and bridge and wpa and twog""
        "
"skipped","Thu Nov 24 13:05:14 UTC 2022","Thu Nov 24 13:05:14 UTC 2022","0","MULTI STATION PERFORMANCE","BRIDGE MODE","WPA2_personal MULTI STATION PERFORMANCE","","","BRIDGE Mode Multi Station Performance Test with 10dB,38dB(NSS-2) distance UDP-download 2.4 GHz Band",""
