"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 15 11:26:14 UTC 2025","Wed Oct 15 11:26:14 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa2_personal_encryption","test_peak_throughput_wpa2_40Mhz_5g","Test40Mhz5GChannel36PeakThroughput","","","test_client_wpa2_nat_tcp_ul[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and NAT and wpa2_personal and twog""
        "
"skipped","Wed Oct 15 11:26:13 UTC 2025","Wed Oct 15 11:26:13 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.nat_mode.wpa2_personal_encryption","test_peak_throughput_wpa2_20Mhz_5g","TestCountryCA20Mhz5GChannel56PeakThroughput","","","test_client_wpa2_nat_tcp_ul[setup_configuration0]"," Wifi Capacity Test NAT mode
            pytest -m ""wifi_capacity_test and nat and wpa2_personal and twog""
        "
"skipped","Wed Oct 15 11:26:10 UTC 2025","Wed Oct 15 11:26:10 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa3_personal_encryption","test_peak_throughput_wpa3_20Mhz_2g","Test20Mhz2GChannel3PeakThroughput","","","test_client_wpa3_personal_bridge_tcp_dl[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa3_personal and twog""
        "
"skipped","Wed Oct 15 11:26:08 UTC 2025","Wed Oct 15 11:26:08 UTC 2025","0","e2e.basic.performance_tests.multi_station_throughput.wpa2_personal.vlan_mode","performance","TestMultiStaThptvlan","","","test_mstathpt_wpa2p_vlan_udp_dl_2g_21[setup_configuration0]","
        pytest -m ""multi_sta_thpt and vlan and wpa2_personal and twog""
        "
"skipped","Wed Oct 15 11:26:17 UTC 2025","Wed Oct 15 11:26:17 UTC 2025","0","e2e.basic.performance_tests.throughput_benchmark.tcp_udp_upstream_downstream_bidirection_throughput_test.wpa2_personal","test_bridge_mode","TestThroughputUnderCombinationsBridge80MHz","","","test_client_wpa2_personal_5g_up_nss3_udp[setup_configuration0]","Dataplane THroughput Bridge Mode
                   pytest -m ""throughput_benchmark_test and bridge and Mhz80 and wpa2_personal and fiveg and upstream and nss2 and udp and nss3""
                   jira-wifi-2572
        "
"skipped","Wed Oct 15 11:26:18 UTC 2025","Wed Oct 15 11:26:18 UTC 2025","0","Country Code Tests","BRIDGE Mode(80 MHz)","GB country code (Channel-116)","","","Test for bandwidth 80 and channel 116","Country code Bridge Mode
           pytest -m ""country_code and eightyMhz and wpa2 and fiveg and channel116""
        "
"skipped","Wed Oct 15 11:26:17 UTC 2025","Wed Oct 15 11:26:17 UTC 2025","0","e2e.basic.performance_tests.throughput_benchmark.throughput_vs_various_pkt_sizes.open_security","test_nat_mode","TestThroughputVsPktNAT5G","","","test_client_open_pkt_1024_5g[setup_configuration0]","Throughput Vs Pkt Sizes nat Mode
           pytest -m ""throughput_vs_pkt and nat and open and fiveg and pkt1024""
        "
"skipped","Wed Oct 15 11:26:07 UTC 2025","Wed Oct 15 11:26:07 UTC 2025","0","e2e.basic.configuration_tests.bridge_mode","test_general_security_modes_configuration","TestSetupBridgeSuiteA","","","test_verify_vif_config[setup_configuration0]"," vifc SuiteA General "
"skipped","Wed Oct 15 11:26:10 UTC 2025","Wed Oct 15 11:26:10 UTC 2025","0","e2e.basic.performance_tests.peak_throughput_tests.bridge_mode.wpa3_enterprise_encryption","test_peak_throughput_wpa3_eap_40Mhz_5g","Test40Mhz5GChannel140PeakThroughput","","","test_client_wpa3_eap_bridge_udp_ul[setup_configuration0]"," Wifi Capacity Test BRIDGE mode
            pytest -m ""wifi_capacity_test and BRIDGE and wpa3_enterprise and twog""
        "
"skipped","Wed Oct 15 11:26:06 UTC 2025","Wed Oct 15 11:26:06 UTC 2025","0","Downlink MU_MIMO Tests","WPA2 Personal Security","NAT Mode","","","Test for Downlink MU-MIMO","
            Downlink MU-MIMO Test: Nat Mode
            pytest -m mu_mimo_performance_tests and nat and wpa2_personal and fiveg
        "
