,,,,,,,,
This data is from a rig with a CIR of 3.5mb down and 2mb up.  The circuit does allow for busrting over the CIR,,,,,,,,
,,,,,,,,
"The vendor will not say what the max burst is, so for this test let's use a 100kb burst allowance when it is over the CIR.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
DATE / TIME,,Downlink,Downlink 3.5Mb CIR minus actual,,Uplink,Uplink 2Mb CIR minus actual,,Delay
16-Apr-18,7:40 PM,"2,600,514","899,486 ",,"1,518,710","481,290 ",,690.0 ms
16-Apr-18,7:50 PM,"2,777,036","722,964 ",,"1,437,606","562,394 ",,712.0 ms
16-Apr-18,8:00 PM,"2,792,650","707,350 ",,"1,520,660","479,340 ",,691.0 ms
16-Apr-18,8:10 PM,"2,517,649","982,351 ",,"1,632,793","367,207 ",,745.0 ms
16-Apr-18,8:20 PM,"2,670,139","829,861 ",,"1,841,709","158,292 ",,625.0 ms
16-Apr-18,8:30 PM,"3,274,754","225,246 ",,"2,135,108","(135,108)",,674.0 ms
16-Apr-18,8:40 PM,"3,922,926","(422,926)",,"1,858,062","141,938 ",,593.0 ms
16-Apr-18,8:50 PM,"3,866,847","(366,847)",,"1,426,749","573,251 ",,608.0 ms
16-Apr-18,9:00 PM,"3,883,646","(383,646)",,"1,436,534","563,466 ",,644.0 ms
16-Apr-18,9:10 PM,"3,681,093","(181,093)",,"1,598,254","401,746 ",,639.0 ms
16-Apr-18,9:20 PM,"3,261,169","238,831 ",,"1,637,315","362,685 ",,668.0 ms
16-Apr-18,9:30 PM,"3,690,312","(190,312)",,"1,317,902","682,098 ",,670.0 ms
16-Apr-18,9:40 PM,"3,289,575","210,425 ",,"1,140,167","859,833 ",,662.0 ms
16-Apr-18,9:50 PM,"2,401,459","1,098,541 ",,"1,348,942","651,059 ",,623.0 ms
16-Apr-18,10:00 PM,"1,898,071","1,601,929 ",,"1,117,990","882,010 ",,606.0 ms
16-Apr-18,10:10 PM,"1,066,482","2,433,518 ",,"725,632","1,274,368 ",,636.0 ms
16-Apr-18,10:20 PM,"1,245,697","2,254,304 ",,"1,124,613","875,387 ",,604.0 ms
16-Apr-18,10:30 PM,"1,427,543","2,072,457 ",,"849,334","1,150,666 ",,609.0 ms
16-Apr-18,10:40 PM,"1,546,955","1,953,045 ",,"988,516","1,011,484 ",,609.0 ms
16-Apr-18,10:50 PM,"1,012,614","2,487,386 ",,"867,008","1,132,992 ",,623.0 ms
16-Apr-18,11:00 PM,"1,445,872","2,054,128 ",,"1,155,422","844,578 ",,601.0 ms
16-Apr-18,11:10 PM,"1,900,101","1,599,899 ",,"1,125,875","874,125 ",,604.0 ms
16-Apr-18,11:20 PM,"2,037,872","1,462,128 ",,"1,104,803","895,197 ",,620.0 ms
