"Endpoint RX Packet Loss Percentage",
Date,"cv_udp-1.2-1.wlan100--1.0.0-A/Packet Loss Percent",Date,"cv_udp-1.2-1.wlan100--1.0.0-B/Packet Loss Percent",Date,"cv_tcp-1.2-1.wlan100--1.0.0-A/Packet Loss Percent",Date,"cv_tcp-1.2-1.wlan100--1.0.0-B/Packet Loss Percent",
"2022-02-15T13:51:51.906 UTC",0,"2022-02-15T13:51:51.906 UTC",0,"2022-02-15T13:52:58.507 UTC",0,"2022-02-15T13:52:58.507 UTC",0,
"2022-02-15T13:51:52.912 UTC",56.51051,"2022-02-15T13:51:52.912 UTC",0,"2022-02-15T13:52:59.513 UTC",0,"2022-02-15T13:52:59.513 UTC",0,
"2022-02-15T13:51:53.920 UTC",56.454,"2022-02-15T13:51:53.920 UTC",0,"2022-02-15T13:53:00.518 UTC",0,"2022-02-15T13:53:00.518 UTC",0,
"2022-02-15T13:51:54.927 UTC",56.454,"2022-02-15T13:51:54.927 UTC",0,"2022-02-15T13:53:01.526 UTC",0,"2022-02-15T13:53:01.526 UTC",0,
"2022-02-15T13:51:55.931 UTC",55.32694,"2022-02-15T13:51:55.931 UTC",0,"2022-02-15T13:53:02.532 UTC",0,"2022-02-15T13:53:02.532 UTC",0,
"2022-02-15T13:51:56.939 UTC",54.60151,"2022-02-15T13:51:56.939 UTC",0,"2022-02-15T13:53:03.539 UTC",0,"2022-02-15T13:53:03.539 UTC",0,
"2022-02-15T13:51:57.946 UTC",54.13833,"2022-02-15T13:51:57.946 UTC",0,"2022-02-15T13:53:04.545 UTC",0,"2022-02-15T13:53:04.545 UTC",0,
"2022-02-15T13:51:58.953 UTC",55.33194,"2022-02-15T13:51:58.953 UTC",0,"2022-02-15T13:53:05.553 UTC",0,"2022-02-15T13:53:05.553 UTC",0,
"2022-02-15T13:51:59.960 UTC",55.05817,"2022-02-15T13:51:59.960 UTC",0,"2022-02-15T13:53:06.559 UTC",0,"2022-02-15T13:53:06.559 UTC",0,
"2022-02-15T13:52:00.966 UTC",54.01581,"2022-02-15T13:52:00.966 UTC",0,"2022-02-15T13:53:07.565 UTC",0,"2022-02-15T13:53:07.565 UTC",0,
"2022-02-15T13:52:01.971 UTC",53.04279,"2022-02-15T13:52:01.971 UTC",0,"2022-02-15T13:53:08.574 UTC",0,"2022-02-15T13:53:08.574 UTC",0,
"2022-02-15T13:52:02.976 UTC",53.72697,"2022-02-15T13:52:02.976 UTC",0,"2022-02-15T13:53:09.580 UTC",0,"2022-02-15T13:53:09.580 UTC",0,
"2022-02-15T13:52:03.983 UTC",53.81365,"2022-02-15T13:52:03.983 UTC",0,"2022-02-15T13:53:10.586 UTC",0,"2022-02-15T13:53:10.586 UTC",0,
"2022-02-15T13:52:04.992 UTC",54.40834,"2022-02-15T13:52:04.992 UTC",0,"2022-02-15T13:53:11.593 UTC",0,"2022-02-15T13:53:11.593 UTC",0,
"2022-02-15T13:52:05.998 UTC",54.97943,"2022-02-15T13:52:05.998 UTC",0,"2022-02-15T13:53:12.601 UTC",0,"2022-02-15T13:53:12.601 UTC",0,
"2022-02-15T13:52:07.006 UTC",55.10883,"2022-02-15T13:52:07.006 UTC",0,"2022-02-15T13:53:13.607 UTC",0,"2022-02-15T13:53:13.607 UTC",0,
"2022-02-15T13:52:08.012 UTC",0,"2022-02-15T13:52:08.012 UTC",0,"2022-02-15T13:53:14.613 UTC",0,"2022-02-15T13:53:14.613 UTC",0,
"2022-02-15T13:52:09.018 UTC",0,"2022-02-15T13:52:09.018 UTC",0.97507,"2022-02-15T13:53:15.620 UTC",0,"2022-02-15T13:53:15.620 UTC",0,
"2022-02-15T13:52:10.026 UTC",0,"2022-02-15T13:52:10.026 UTC",1.02333,"2022-02-15T13:53:16.629 UTC",0,"2022-02-15T13:53:16.629 UTC",0,
"2022-02-15T13:52:11.032 UTC",0,"2022-02-15T13:52:11.032 UTC",0.86397,"2022-02-15T13:53:17.638 UTC",0,"2022-02-15T13:53:17.638 UTC",0,
"2022-02-15T13:52:12.039 UTC",0,"2022-02-15T13:52:12.039 UTC",0.86285,"2022-02-15T13:53:18.650 UTC",0,"2022-02-15T13:53:18.650 UTC",0,
"2022-02-15T13:52:13.045 UTC",0,"2022-02-15T13:52:13.045 UTC",0.76984,"2022-02-15T13:53:19.656 UTC",0,"2022-02-15T13:53:19.656 UTC",0,
"2022-02-15T13:52:14.051 UTC",0,"2022-02-15T13:52:14.051 UTC",0.78551,"2022-02-15T13:53:20.662 UTC",0,"2022-02-15T13:53:20.662 UTC",0,
"2022-02-15T13:52:15.057 UTC",0,"2022-02-15T13:52:15.057 UTC",0.95243,"2022-02-15T13:53:21.673 UTC",0,"2022-02-15T13:53:21.673 UTC",0,
"2022-02-15T13:52:16.063 UTC",0,"2022-02-15T13:52:16.063 UTC",1.25681,"2022-02-15T13:53:22.681 UTC",0,"2022-02-15T13:53:22.681 UTC",0,
"2022-02-15T13:52:17.068 UTC",0,"2022-02-15T13:52:17.068 UTC",1.66302,"2022-02-15T13:53:23.690 UTC",0,"2022-02-15T13:53:23.690 UTC",0,
"2022-02-15T13:52:18.077 UTC",0,"2022-02-15T13:52:18.077 UTC",1.46001,"2022-02-15T13:53:24.700 UTC",0,"2022-02-15T13:53:24.700 UTC",0,
"2022-02-15T13:52:19.083 UTC",0,"2022-02-15T13:52:19.083 UTC",2.18989,"2022-02-15T13:53:25.709 UTC",0,"2022-02-15T13:53:25.709 UTC",0,
"2022-02-15T13:52:20.088 UTC",0,"2022-02-15T13:52:20.088 UTC",2.03621,"2022-02-15T13:53:26.716 UTC",0,"2022-02-15T13:53:26.716 UTC",0,
"2022-02-15T13:52:21.094 UTC",0,"2022-02-15T13:52:21.094 UTC",2.68423,"2022-02-15T13:53:27.724 UTC",0,"2022-02-15T13:53:27.724 UTC",0,
"2022-02-15T13:52:22.102 UTC",0,"2022-02-15T13:52:22.102 UTC",3.0584,"2022-02-15T13:53:28.735 UTC",0,"2022-02-15T13:53:28.735 UTC",0,
"2022-02-15T13:52:23.107 UTC",0,"2022-02-15T13:52:23.107 UTC",3.0584,"2022-02-15T13:53:29.742 UTC",0,"2022-02-15T13:53:29.742 UTC",0,
"2022-02-15T13:52:24.115 UTC",0,"2022-02-15T13:52:24.115 UTC",3.13564,"2022-02-15T13:53:30.748 UTC",0,"2022-02-15T13:53:30.748 UTC",0,
"2022-02-15T13:52:26.129 UTC",0,"2022-02-15T13:52:26.129 UTC",0,"2022-02-15T13:53:31.755 UTC",0,"2022-02-15T13:53:31.755 UTC",0,
"2022-02-15T13:52:27.143 UTC",54.41086,"2022-02-15T13:52:27.143 UTC",0,"2022-02-15T13:53:32.764 UTC",0,"2022-02-15T13:53:32.764 UTC",0,
"2022-02-15T13:52:28.151 UTC",54.01273,"2022-02-15T13:52:28.151 UTC",0,"2022-02-15T13:53:33.771 UTC",0,"2022-02-15T13:53:33.771 UTC",0,
"2022-02-15T13:52:29.164 UTC",50.44373,"2022-02-15T13:52:29.164 UTC",0,"2022-02-15T13:54:08.093 UTC",0,"2022-02-15T13:54:08.093 UTC",0,
"2022-02-15T13:52:30.174 UTC",49.60551,"2022-02-15T13:52:30.174 UTC",0,"2022-02-15T13:54:09.103 UTC",0,"2022-02-15T13:54:09.103 UTC",0,
"2022-02-15T13:52:31.184 UTC",50.41781,"2022-02-15T13:52:31.184 UTC",0,"2022-02-15T13:54:10.109 UTC",0,"2022-02-15T13:54:10.109 UTC",0,
"2022-02-15T13:52:32.195 UTC",52.98032,"2022-02-15T13:52:32.195 UTC",0,"2022-02-15T13:54:11.115 UTC",0,"2022-02-15T13:54:11.115 UTC",0,
"2022-02-15T13:52:33.203 UTC",53.58274,"2022-02-15T13:52:33.203 UTC",0,"2022-02-15T13:54:12.121 UTC",0,"2022-02-15T13:54:12.121 UTC",0,
"2022-02-15T13:52:34.214 UTC",52.98592,"2022-02-15T13:52:34.214 UTC",0,"2022-02-15T13:54:13.129 UTC",0,"2022-02-15T13:54:13.129 UTC",0,
"2022-02-15T13:52:35.222 UTC",53.84184,"2022-02-15T13:52:35.222 UTC",0,"2022-02-15T13:54:14.137 UTC",0,"2022-02-15T13:54:14.137 UTC",0,
"2022-02-15T13:52:36.230 UTC",54.96726,"2022-02-15T13:52:36.230 UTC",0,"2022-02-15T13:54:15.144 UTC",0,"2022-02-15T13:54:15.144 UTC",0,
"2022-02-15T13:52:37.236 UTC",55.03867,"2022-02-15T13:52:37.236 UTC",0,"2022-02-15T13:54:16.150 UTC",0,"2022-02-15T13:54:16.150 UTC",0,
"2022-02-15T13:52:38.242 UTC",54.19646,"2022-02-15T13:52:38.242 UTC",0,"2022-02-15T13:54:17.157 UTC",0,"2022-02-15T13:54:17.157 UTC",0,
"2022-02-15T13:52:39.249 UTC",53.87815,"2022-02-15T13:52:39.249 UTC",0,"2022-02-15T13:54:18.165 UTC",0,"2022-02-15T13:54:18.165 UTC",0,
"2022-02-15T13:52:40.256 UTC",53.91272,"2022-02-15T13:52:40.256 UTC",0,"2022-02-15T13:54:19.171 UTC",0,"2022-02-15T13:54:19.171 UTC",0,
"2022-02-15T13:52:41.264 UTC",54.09955,"2022-02-15T13:52:41.264 UTC",0,"2022-02-15T13:54:20.181 UTC",0,"2022-02-15T13:54:20.181 UTC",0,
"2022-02-15T13:52:42.389 UTC",0,"2022-02-15T13:52:42.389 UTC",0,"2022-02-15T13:54:21.190 UTC",0,"2022-02-15T13:54:21.190 UTC",0,
"2022-02-15T13:52:43.402 UTC",0,"2022-02-15T13:52:43.402 UTC",0.93269,"2022-02-15T13:54:22.200 UTC",0,"2022-02-15T13:54:22.200 UTC",0,
"2022-02-15T13:52:44.408 UTC",0,"2022-02-15T13:52:44.408 UTC",1.48465,"2022-02-15T13:54:23.208 UTC",0,"2022-02-15T13:54:23.208 UTC",0,
"2022-02-15T13:52:45.415 UTC",0,"2022-02-15T13:52:45.415 UTC",1.75599,"2022-02-15T13:54:24.214 UTC",0,"2022-02-15T13:54:24.214 UTC",0,
"2022-02-15T13:52:46.422 UTC",0,"2022-02-15T13:52:46.422 UTC",1.34868,"2022-02-15T13:54:25.221 UTC",0,"2022-02-15T13:54:25.221 UTC",0,
"2022-02-15T13:52:47.428 UTC",0,"2022-02-15T13:52:47.428 UTC",1.50852,"2022-02-15T13:54:26.231 UTC",0,"2022-02-15T13:54:26.231 UTC",0,
"2022-02-15T13:52:48.437 UTC",0,"2022-02-15T13:52:48.437 UTC",1.29906,"2022-02-15T13:54:27.239 UTC",0,"2022-02-15T13:54:27.239 UTC",0,
"2022-02-15T13:52:49.444 UTC",0,"2022-02-15T13:52:49.444 UTC",1.88704,"2022-02-15T13:54:28.247 UTC",0,"2022-02-15T13:54:28.247 UTC",0,
"2022-02-15T13:52:50.449 UTC",0,"2022-02-15T13:52:50.449 UTC",1.87131,"2022-02-15T13:54:29.257 UTC",0,"2022-02-15T13:54:29.257 UTC",0,
"2022-02-15T13:52:51.455 UTC",0,"2022-02-15T13:52:51.455 UTC",1.83819,"2022-02-15T13:54:30.266 UTC",0,"2022-02-15T13:54:30.266 UTC",0,
"2022-02-15T13:52:52.462 UTC",0,"2022-02-15T13:52:52.462 UTC",1.3054,"2022-02-15T13:54:31.277 UTC",0,"2022-02-15T13:54:31.277 UTC",0,
"2022-02-15T13:52:53.469 UTC",0,"2022-02-15T13:52:53.469 UTC",0.74808,"2022-02-15T13:54:32.389 UTC",0,"2022-02-15T13:54:32.389 UTC",0,
"2022-02-15T13:52:54.476 UTC",0,"2022-02-15T13:52:54.476 UTC",0.59572,"2022-02-15T13:54:33.403 UTC",0,"2022-02-15T13:54:33.403 UTC",0,
"2022-02-15T13:52:55.482 UTC",0,"2022-02-15T13:52:55.482 UTC",0.57773,"2022-02-15T13:54:34.410 UTC",0,"2022-02-15T13:54:34.410 UTC",0,
"2022-02-15T13:52:56.489 UTC",0,"2022-02-15T13:52:56.489 UTC",0.49854,"2022-02-15T13:54:35.418 UTC",0,"2022-02-15T13:54:35.418 UTC",0,
"2022-02-15T13:52:57.497 UTC",0,"2022-02-15T13:52:57.497 UTC",0.45644,"2022-02-15T13:54:36.431 UTC",0,"2022-02-15T13:54:36.431 UTC",0,
"2022-02-15T13:53:34.782 UTC",0,"2022-02-15T13:53:34.782 UTC",0,"2022-02-15T13:54:37.438 UTC",0,"2022-02-15T13:54:37.438 UTC",0,
"2022-02-15T13:53:35.789 UTC",0,"2022-02-15T13:53:35.789 UTC",0,"2022-02-15T13:54:38.449 UTC",0,"2022-02-15T13:54:38.449 UTC",0,
"2022-02-15T13:53:36.799 UTC",23.95486,"2022-02-15T13:53:36.799 UTC",0,"2022-02-15T13:54:39.461 UTC",0,"2022-02-15T13:54:39.461 UTC",0,
"2022-02-15T13:53:37.807 UTC",36.61824,"2022-02-15T13:53:37.807 UTC",0,"2022-02-15T13:54:40.472 UTC",0,"2022-02-15T13:54:40.472 UTC",0,
"2022-02-15T13:53:38.814 UTC",45.40377,"2022-02-15T13:53:38.814 UTC",0,"2022-02-15T13:54:41.480 UTC",0,"2022-02-15T13:54:41.480 UTC",0,
"2022-02-15T13:53:39.825 UTC",51.17947,"2022-02-15T13:53:39.825 UTC",0,"2022-02-15T13:54:42.490 UTC",0,"2022-02-15T13:54:42.490 UTC",0,
"2022-02-15T13:53:40.836 UTC",53.01335,"2022-02-15T13:53:40.836 UTC",0,"2022-02-15T13:55:19.857 UTC",0,"2022-02-15T13:55:19.857 UTC",0,
"2022-02-15T13:53:41.849 UTC",52.14358,"2022-02-15T13:53:41.849 UTC",0,"2022-02-15T13:55:20.863 UTC",0,"2022-02-15T13:55:20.863 UTC",0,
"2022-02-15T13:53:42.859 UTC",50.62541,"2022-02-15T13:53:42.859 UTC",0,"2022-02-15T13:55:21.870 UTC",0,"2022-02-15T13:55:21.870 UTC",0,
"2022-02-15T13:53:43.868 UTC",49.47679,"2022-02-15T13:53:43.868 UTC",0,"2022-02-15T13:55:22.877 UTC",0,"2022-02-15T13:55:22.877 UTC",0,
"2022-02-15T13:53:44.882 UTC",49.79265,"2022-02-15T13:53:44.882 UTC",0,"2022-02-15T13:55:23.886 UTC",0,"2022-02-15T13:55:23.886 UTC",0,
"2022-02-15T13:53:45.899 UTC",52.1757,"2022-02-15T13:53:45.899 UTC",0,"2022-02-15T13:55:24.893 UTC",0,"2022-02-15T13:55:24.893 UTC",0,
"2022-02-15T13:53:46.911 UTC",51.01281,"2022-02-15T13:53:46.911 UTC",0,"2022-02-15T13:55:25.902 UTC",0,"2022-02-15T13:55:25.902 UTC",0,
"2022-02-15T13:53:47.922 UTC",50.71981,"2022-02-15T13:53:47.922 UTC",0,"2022-02-15T13:55:26.911 UTC",0,"2022-02-15T13:55:26.911 UTC",0,
"2022-02-15T13:53:48.929 UTC",51.04799,"2022-02-15T13:53:48.929 UTC",0,"2022-02-15T13:55:27.919 UTC",0,"2022-02-15T13:55:27.919 UTC",0,
"2022-02-15T13:53:49.941 UTC",53.72322,"2022-02-15T13:53:49.941 UTC",0,"2022-02-15T13:55:28.927 UTC",0,"2022-02-15T13:55:28.927 UTC",0,
"2022-02-15T13:53:50.952 UTC",0,"2022-02-15T13:53:50.952 UTC",0,"2022-02-15T13:55:29.937 UTC",0,"2022-02-15T13:55:29.937 UTC",0,
"2022-02-15T13:53:51.961 UTC",0,"2022-02-15T13:53:51.961 UTC",0.92111,"2022-02-15T13:55:30.946 UTC",0,"2022-02-15T13:55:30.946 UTC",0,
"2022-02-15T13:53:52.968 UTC",0,"2022-02-15T13:53:52.968 UTC",0.92111,"2022-02-15T13:55:31.954 UTC",0,"2022-02-15T13:55:31.954 UTC",0,
"2022-02-15T13:53:53.977 UTC",0,"2022-02-15T13:53:53.977 UTC",1.89692,"2022-02-15T13:55:32.962 UTC",0,"2022-02-15T13:55:32.962 UTC",0,
"2022-02-15T13:53:54.985 UTC",0,"2022-02-15T13:53:54.985 UTC",1.45815,"2022-02-15T13:55:33.969 UTC",0,"2022-02-15T13:55:33.969 UTC",0,
"2022-02-15T13:53:55.996 UTC",0,"2022-02-15T13:53:55.996 UTC",1.04974,"2022-02-15T13:55:34.976 UTC",0,"2022-02-15T13:55:34.976 UTC",0,
"2022-02-15T13:53:57.006 UTC",0,"2022-02-15T13:53:57.006 UTC",0.64783,"2022-02-15T13:55:35.983 UTC",0,"2022-02-15T13:55:35.983 UTC",0,
"2022-02-15T13:53:58.015 UTC",0,"2022-02-15T13:53:58.015 UTC",0.82505,"2022-02-15T13:55:36.994 UTC",0,"2022-02-15T13:55:36.994 UTC",0,
"2022-02-15T13:53:59.022 UTC",0,"2022-02-15T13:53:59.022 UTC",0.84844,"2022-02-15T13:55:38.004 UTC",0,"2022-02-15T13:55:38.004 UTC",0,
"2022-02-15T13:54:00.032 UTC",0,"2022-02-15T13:54:00.032 UTC",0.75837,"2022-02-15T13:55:39.015 UTC",0,"2022-02-15T13:55:39.015 UTC",0,
"2022-02-15T13:54:01.039 UTC",0,"2022-02-15T13:54:01.039 UTC",0.50711,"2022-02-15T13:55:40.026 UTC",0,"2022-02-15T13:55:40.026 UTC",0,
"2022-02-15T13:54:02.048 UTC",0,"2022-02-15T13:54:02.048 UTC",0.9115,"2022-02-15T13:55:41.034 UTC",0,"2022-02-15T13:55:41.034 UTC",0,
"2022-02-15T13:54:03.055 UTC",0,"2022-02-15T13:54:03.055 UTC",0.90516,"2022-02-15T13:55:42.042 UTC",0,"2022-02-15T13:55:42.042 UTC",0,
"2022-02-15T13:54:04.064 UTC",0,"2022-02-15T13:54:04.064 UTC",0.71681,"2022-02-15T13:55:43.051 UTC",0,"2022-02-15T13:55:43.051 UTC",0,
"2022-02-15T13:54:05.072 UTC",0,"2022-02-15T13:54:05.072 UTC",0.39235,"2022-02-15T13:55:44.060 UTC",0,"2022-02-15T13:55:44.060 UTC",0,
"2022-02-15T13:54:06.081 UTC",0,"2022-02-15T13:54:06.081 UTC",0.50558,"2022-02-15T13:55:45.071 UTC",0,"2022-02-15T13:55:45.071 UTC",0,
"2022-02-15T13:54:07.087 UTC",0,"2022-02-15T13:54:07.087 UTC",0.87682,"2022-02-15T13:55:46.080 UTC",0,"2022-02-15T13:55:46.080 UTC",0,
"2022-02-15T13:54:43.497 UTC",0,"2022-02-15T13:54:43.497 UTC",0,"2022-02-15T13:55:47.087 UTC",0,"2022-02-15T13:55:47.087 UTC",0,
"2022-02-15T13:54:44.508 UTC",57.8754,"2022-02-15T13:54:44.508 UTC",0,"2022-02-15T13:55:48.095 UTC",0,"2022-02-15T13:55:48.095 UTC",0,
"2022-02-15T13:54:45.520 UTC",49.58214,"2022-02-15T13:54:45.520 UTC",0,"2022-02-15T13:55:49.103 UTC",0,"2022-02-15T13:55:49.103 UTC",0,
"2022-02-15T13:54:46.531 UTC",49.58214,"2022-02-15T13:54:46.531 UTC",0,"2022-02-15T13:55:50.111 UTC",0,"2022-02-15T13:55:50.111 UTC",0,
"2022-02-15T13:54:47.538 UTC",51.47656,"2022-02-15T13:54:47.538 UTC",0,"2022-02-15T13:55:51.121 UTC",0,"2022-02-15T13:55:51.121 UTC",0,
"2022-02-15T13:54:48.545 UTC",51.79836,"2022-02-15T13:54:48.545 UTC",0,"2022-02-15T13:55:52.130 UTC",0,"2022-02-15T13:55:52.130 UTC",0,
"2022-02-15T13:54:49.557 UTC",51.63212,"2022-02-15T13:54:49.557 UTC",0,"2022-02-15T13:55:53.139 UTC",0,"2022-02-15T13:55:53.139 UTC",0,
"2022-02-15T13:54:50.568 UTC",52.38784,"2022-02-15T13:54:50.568 UTC",0,"2022-02-15T13:55:54.148 UTC",0,"2022-02-15T13:55:54.148 UTC",0,
"2022-02-15T13:54:51.578 UTC",52.65521,"2022-02-15T13:54:51.578 UTC",0,"2022-02-15T13:55:55.158 UTC",0,"2022-02-15T13:55:55.158 UTC",0,
"2022-02-15T13:54:52.585 UTC",52.9413,"2022-02-15T13:54:52.585 UTC",0,"2022-02-15T13:56:29.642 UTC",0,"2022-02-15T13:56:29.642 UTC",0,
"2022-02-15T13:54:53.592 UTC",49.70515,"2022-02-15T13:54:53.592 UTC",0,"2022-02-15T13:56:30.650 UTC",0,"2022-02-15T13:56:30.650 UTC",0,
"2022-02-15T13:54:54.603 UTC",49.68244,"2022-02-15T13:54:54.603 UTC",0,"2022-02-15T13:56:31.657 UTC",0,"2022-02-15T13:56:31.657 UTC",0,
"2022-02-15T13:54:55.644 UTC",51.63321,"2022-02-15T13:54:55.644 UTC",0,"2022-02-15T13:56:32.666 UTC",0,"2022-02-15T13:56:32.666 UTC",0,
"2022-02-15T13:54:56.661 UTC",54.11758,"2022-02-15T13:54:56.661 UTC",0,"2022-02-15T13:56:33.674 UTC",0,"2022-02-15T13:56:33.674 UTC",0,
"2022-02-15T13:54:57.672 UTC",54.0156,"2022-02-15T13:54:57.672 UTC",0,"2022-02-15T13:56:34.686 UTC",0,"2022-02-15T13:56:34.686 UTC",0,
"2022-02-15T13:54:58.683 UTC",54.69728,"2022-02-15T13:54:58.683 UTC",0,"2022-02-15T13:56:35.694 UTC",0,"2022-02-15T13:56:35.694 UTC",0,
"2022-02-15T13:54:59.690 UTC",54.4299,"2022-02-15T13:54:59.690 UTC",0,"2022-02-15T13:56:36.703 UTC",0,"2022-02-15T13:56:36.703 UTC",0,
"2022-02-15T13:55:00.700 UTC",52.80483,"2022-02-15T13:55:00.700 UTC",0,"2022-02-15T13:56:37.711 UTC",0,"2022-02-15T13:56:37.711 UTC",0,
"2022-02-15T13:55:01.706 UTC",0,"2022-02-15T13:55:01.706 UTC",0,"2022-02-15T13:56:38.723 UTC",0,"2022-02-15T13:56:38.723 UTC",0,
