Channel,Frequency,Security,NSS,Cfg-Mode,Bandwidth,Pkt,Traffic-Type,Direction,Atten,Rotation,Offered-1m,Rx-Bps,Rx-Bps-1m,Rx-Bps-LL,Rx-Bps-3s,RSSI,Tx-Failed,Tx-Failed%,Tx-Rate,Rx-Rate,Rpt-Mode,Rpt-Mode-Brief
36,5180,WPA2,4,AUTO,160,60,UDP,DUT-TX,NA,NA,92.706 Mbps,41.689 Mbps,42.026 Mbps,140.086 Mbps,41.915 Mbps,-53,0 / 9745000,0,260 Mbps,1.17 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,60,UDP,DUT-RX,NA,NA,17.254 Mbps,17.059 Mbps,17.167 Mbps,57.224 Mbps,17.154 Mbps,-47,190 / 1791497,0.011,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,142,UDP,DUT-TX,NA,NA,492.797 Mbps,229.868 Mbps,229.968 Mbps,326.554 Mbps,230.001 Mbps,-53,0 / 9238750,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,142,UDP,DUT-RX,NA,NA,98.497 Mbps,98.35 Mbps,98.44 Mbps,139.785 Mbps,98.313 Mbps,-47,191 / 1856476,0.01,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,142,TCP,DUT-TX,NA,NA,70.253 Mbps,68.96 Mbps,69.06 Mbps,118.018 Mbps,63.417 Mbps,-53,0 / 1653389,0,1560 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,142,TCP,DUT-RX,NA,NA,75.29 Mbps,73.367 Mbps,73.542 Mbps,125.781 Mbps,73.508 Mbps,-53,0 / 2063492,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,256,UDP,DUT-TX,NA,NA,983.249 Mbps,491.778 Mbps,492.237 Mbps,588.845 Mbps,487.694 Mbps,-53,0 / 8890294,0,1560 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,256,UDP,DUT-RX,NA,NA,215.121 Mbps,214.753 Mbps,215.09 Mbps,257.304 Mbps,213.796 Mbps,-48,0 / 1891112,0,1560 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,256,TCP,DUT-TX,NA,NA,171.259 Mbps,169.546 Mbps,169.555 Mbps,217.779 Mbps,174.94 Mbps,-54,0 / 1688155,0,1560 Mbps,1.3 Gbps,802.11an-AC,802.11ac
36,5180,WPA2,4,AUTO,160,256,TCP,DUT-RX,NA,NA,188.61 Mbps,187.048 Mbps,187.174 Mbps,240.333 Mbps,186.983 Mbps,-54,0 / 2101932,0,1733.3 Mbps,1.3 Gbps,802.11an-AC,802.11ac
