Step Index	Position [Deg]	Attenuation [dB]	Throughput [Mbps]	Beacon RSSI [dBm]	Data RSSI [dBm]
0	NA	0	41.69	-48	-53
1	NA	0	17.06	-47	-47
2	NA	0	229.87	-47	-53
3	NA	0	98.35	-47	-47
4	NA	0	68.96	-47	-53
5	NA	0	73.37	-47	-53
6	NA	0	491.78	-47	-53
7	NA	0	214.75	-47	-48
8	NA	0	169.55	-48	-54
9	NA	0	187.05	-49	-54
10	NA	0	1,003.99	-47	-53
11	NA	0	493.12	-48	-48
12	NA	0	368.56	-47	-53
13	NA	0	456.69	-49	-54
14	NA	0	1,067.67	-48	-54
15	NA	0	1,074.66	-48	-49
16	NA	0	482.99	-49	-53
17	NA	0	974.47	-48	-54
18	NA	0	1,102.56	-48	-54
19	NA	0	1,385.07	-48	-49
20	NA	0	509.74	-49	-54
21	NA	0	1,234.24	-49	-54
22	NA	0	0.78	-48	-53
23	NA	0	95.32	-48	-49
24	NA	0	518.59	-48	-53
25	NA	0	1,229.03	-48	-54
