"Realtime Throughput",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UL + DL Sum/RX (Mbps)",
"2022-02-15T14:20:05.760 UTC",0,"2022-02-15T14:20:05.760 UTC",0,"2022-02-15T14:20:05.760 UTC",0,
"2022-02-15T14:20:06.767 UTC",0,"2022-02-15T14:20:06.767 UTC",0,"2022-02-15T14:20:06.767 UTC",0,
"2022-02-15T14:20:07.771 UTC",0,"2022-02-15T14:20:07.771 UTC",0,"2022-02-15T14:20:07.771 UTC",0,
"2022-02-15T14:20:08.777 UTC",0,"2022-02-15T14:20:08.777 UTC",0,"2022-02-15T14:20:08.777 UTC",0,
"2022-02-15T14:20:09.782 UTC",0,"2022-02-15T14:20:09.782 UTC",0,"2022-02-15T14:20:09.782 UTC",0,
"2022-02-15T14:20:10.786 UTC",0,"2022-02-15T14:20:10.786 UTC",0,"2022-02-15T14:20:10.786 UTC",0,
"2022-02-15T14:20:11.791 UTC",0,"2022-02-15T14:20:11.791 UTC",0,"2022-02-15T14:20:11.791 UTC",0,
"2022-02-15T14:20:12.795 UTC",0,"2022-02-15T14:20:12.795 UTC",0,"2022-02-15T14:20:12.795 UTC",0,
"2022-02-15T14:20:13.800 UTC",0,"2022-02-15T14:20:13.800 UTC",0,"2022-02-15T14:20:13.800 UTC",0,
"2022-02-15T14:20:14.804 UTC",0,"2022-02-15T14:20:14.804 UTC",0,"2022-02-15T14:20:14.804 UTC",0,
"2022-02-15T14:20:15.809 UTC",0,"2022-02-15T14:20:15.809 UTC",0,"2022-02-15T14:20:15.809 UTC",0,
"2022-02-15T14:20:16.818 UTC",0,"2022-02-15T14:20:16.818 UTC",0,"2022-02-15T14:20:16.818 UTC",0,
"2022-02-15T14:20:17.823 UTC",0,"2022-02-15T14:20:17.823 UTC",0,"2022-02-15T14:20:17.823 UTC",0,
"2022-02-15T14:20:18.828 UTC",0,"2022-02-15T14:20:18.828 UTC",0,"2022-02-15T14:20:18.828 UTC",0,
"2022-02-15T14:20:19.833 UTC",0,"2022-02-15T14:20:19.833 UTC",0,"2022-02-15T14:20:19.833 UTC",0,
"2022-02-15T14:20:20.838 UTC",0,"2022-02-15T14:20:20.838 UTC",0,"2022-02-15T14:20:20.838 UTC",0,
"2022-02-15T14:20:21.842 UTC",0,"2022-02-15T14:20:21.842 UTC",0,"2022-02-15T14:20:21.842 UTC",0,
"2022-02-15T14:20:22.849 UTC",0,"2022-02-15T14:20:22.849 UTC",0,"2022-02-15T14:20:22.849 UTC",0,
"2022-02-15T14:20:23.853 UTC",0,"2022-02-15T14:20:23.853 UTC",0,"2022-02-15T14:20:23.853 UTC",0,
"2022-02-15T14:20:24.860 UTC",0,"2022-02-15T14:20:24.860 UTC",0,"2022-02-15T14:20:24.860 UTC",0,
"2022-02-15T14:20:25.865 UTC",0,"2022-02-15T14:20:25.865 UTC",31.90366,"2022-02-15T14:20:25.865 UTC",31.90366,
"2022-02-15T14:20:26.874 UTC",0,"2022-02-15T14:20:26.874 UTC",40.50943,"2022-02-15T14:20:26.874 UTC",40.50943,
"2022-02-15T14:20:27.881 UTC",0,"2022-02-15T14:20:27.881 UTC",39.11181,"2022-02-15T14:20:27.881 UTC",39.11181,
"2022-02-15T14:20:28.888 UTC",0,"2022-02-15T14:20:28.888 UTC",39.60998,"2022-02-15T14:20:28.888 UTC",39.60998,
"2022-02-15T14:20:29.894 UTC",0,"2022-02-15T14:20:29.894 UTC",39.69659,"2022-02-15T14:20:29.894 UTC",39.69659,
"2022-02-15T14:20:30.900 UTC",0,"2022-02-15T14:20:30.900 UTC",40.71906,"2022-02-15T14:20:30.900 UTC",40.71906,
"2022-02-15T14:20:31.906 UTC",0,"2022-02-15T14:20:31.906 UTC",40.4587,"2022-02-15T14:20:31.906 UTC",40.4587,
"2022-02-15T14:20:32.912 UTC",0,"2022-02-15T14:20:32.912 UTC",40.47519,"2022-02-15T14:20:32.912 UTC",40.47519,
"2022-02-15T14:20:33.917 UTC",0,"2022-02-15T14:20:33.917 UTC",40.47669,"2022-02-15T14:20:33.917 UTC",40.47669,
"2022-02-15T14:20:34.923 UTC",0,"2022-02-15T14:20:34.923 UTC",39.55682,"2022-02-15T14:20:34.923 UTC",39.55682,
