Channel	Frequency	Security	NSS	Cfg-Mode	Bandwidth	Pkt	Traffic-Type	Direction	Atten	Rotation	Offered-1m	Rx-Bps	Rx-Bps-1m	Rx-Bps-LL	Rx-Bps-3s	RSSI	Tx-Failed	Tx-Failed%	Tx-Rate	Rx-Rate	Rpt-Mode	Rpt-Mode-Brief
40	5200	WPA2	4	AUTO	20	60	UDP	DUT-TX	NA	NA	75.959 Mbps	40.238 Mbps	40.351 Mbps	134.502 Mbps	40.969 Mbps	-65	0 / 8104168	0	57.8 Mbps	346.7 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	60	UDP	DUT-RX	NA	NA	18.92 Mbps	18.787 Mbps	18.859 Mbps	62.864 Mbps	18.645 Mbps	-60	381 / 1966637	0.019	346.7 Mbps	289 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	142	UDP	DUT-TX	NA	NA	329.57 Mbps	170.624 Mbps	171.757 Mbps	243.895 Mbps	194.682 Mbps	-65	0 / 6522234	0	346.7 Mbps	385.3 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	142	UDP	DUT-RX	NA	NA	111.091 Mbps	110.308 Mbps	111.108 Mbps	157.773 Mbps	103.474 Mbps	-60	573 / 2205068	0.026	260 Mbps	385.3 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	142	TCP	DUT-TX	NA	NA	54.926 Mbps	53.725 Mbps	54.134 Mbps	89.913 Mbps	54.824 Mbps	-68	0 / 1337633	0	346.7 Mbps	346.7 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	142	TCP	DUT-RX	NA	NA	85.906 Mbps	79.116 Mbps	79.137 Mbps	132.023 Mbps	79.973 Mbps	-66	955 / 1963551	0.049	231.1 Mbps	346.7 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	256	UDP	DUT-TX	NA	NA	327.681 Mbps	202.964 Mbps	203.154 Mbps	243.025 Mbps	223.811 Mbps	-68	0 / 2912444	0	234 Mbps	346.7 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	256	UDP	DUT-RX	NA	NA	181.255 Mbps	180.985 Mbps	181.269 Mbps	216.846 Mbps	194.958 Mbps	-60	384 / 1595483	0.024	288.9 Mbps	346.7 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	256	TCP	DUT-TX	NA	NA	102.395 Mbps	100.826 Mbps	101.089 Mbps	129.935 Mbps	98.383 Mbps	-65	0 / 985986	0	346.7 Mbps	288.9 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	256	TCP	DUT-RX	NA	NA	154.086 Mbps	153.053 Mbps	153.55 Mbps	197.213 Mbps	155.383 Mbps	-65	384 / 1520658	0.025	346.7 Mbps	346.7 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	512	UDP	DUT-TX	NA	NA	328.205 Mbps	225.916 Mbps	226.464 Mbps	246.701 Mbps	227.588 Mbps	-65	0 / 1352182	0	346.7 Mbps	288.9 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	512	UDP	DUT-RX	NA	NA	233.076 Mbps	230.594 Mbps	231.465 Mbps	252.15 Mbps	220.205 Mbps	-61	384 / 925184	0.042	260 Mbps	288.9 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	512	TCP	DUT-TX	NA	NA	161.841 Mbps	161.263 Mbps	161.586 Mbps	181.345 Mbps	174.886 Mbps	-65	0 / 687831	0	346.7 Mbps	346.7 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	512	TCP	DUT-RX	NA	NA	196.477 Mbps	195.15 Mbps	195.826 Mbps	219.604 Mbps	207.294 Mbps	-65	384 / 823496	0.047	346.7 Mbps	346.7 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	1024	UDP	DUT-TX	NA	NA	327.929 Mbps	261.471 Mbps	261.912 Mbps	273.114 Mbps	243.918 Mbps	-65	0 / 652938	0	260 Mbps	346.7 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	1024	UDP	DUT-RX	NA	NA	254.327 Mbps	250.101 Mbps	250.782 Mbps	261.508 Mbps	234.191 Mbps	-62	384 / 480046	0.08	346.7 Mbps	346.7 Mbps	802.11an-AC	802.11ac
40	5200	WPA2	4	AUTO	20	1024	TCP	DUT-TX	NA	NA	184.301 Mbps	182.73 Mbps	183.268 Mbps	193.8 Mbps	171.457 Mbps	-67	0 / 355347	0	260 Mbps	289 Mbps	802.11an-AC	802.11ac
