Channel	Frequency	Security	NSS	Cfg-Mode	Bandwidth	Pkt	Traffic-Type	Direction	Tx-Mode-Rpt	Tx-NSS-Rpt	Tx-MCS	Tx-BW-Rpt	Rx-Mode-Rpt	Rx-NSS-Rpt	Rx-MCS	Rx-BW-Rpt	RSSI dBm	Tx-Phy-Rate	Rx-Phy-Rate
40	5200	WPA2	4	AUTO	20	60	UDP	DUT-TX	VHT	4	1	20	4	VHT	1	20	-65 [-69, -77, -69, -65]	57.8 MBit/s VHT-MCS 1 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	60	UDP	DUT-RX	VHT	4	8	20	3	VHT	8	20	-59 [-70, -77, -71, -66]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	289.0 MBit/s VHT-MCS 9 short GI VHT-NSS 3
40	5200	WPA2	4	AUTO	20	142	UDP	DUT-TX	VHT	4	8	20	4	VHT	8	20	-66 [-70, -77, -69, -67]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	385.3 MBit/s VHT-MCS 9 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	142	UDP	DUT-RX	VHT	3	8	20	4	VHT	8	20	-60 [-70, -76, -69, -67]	260.0 MBit/s VHT-MCS 8 short GI VHT-NSS 3	385.3 MBit/s VHT-MCS 9 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	142	TCP	DUT-TX	VHT	4	8	20	4	VHT	8	20	-69 [-73, -79, -70, -72]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	142	TCP	DUT-RX	VHT	4	5	20	4	VHT	5	20	-66 [-70, -78, -72, -66]	231.1 MBit/s VHT-MCS 5 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	256	UDP	DUT-TX	VHT	4	6	20	4	VHT	6	20	-69 [-72, -77, -72, -70]	234.0 MBit/s VHT-MCS 6 VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	256	UDP	DUT-RX	VHT	4	7	20	4	VHT	7	20	-61 [-72, -77, -73, -70]	288.9 MBit/s VHT-MCS 7 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	256	TCP	DUT-TX	VHT	4	8	20	4	VHT	8	20	-66 [-70, -76, -69, -67]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	288.9 MBit/s VHT-MCS 7 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	256	TCP	DUT-RX	VHT	4	8	20	4	VHT	8	20	-66 [-69, -77, -73, -66]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	512	UDP	DUT-TX	VHT	4	8	20	4	VHT	8	20	-66 [-71, -76, -70, -66]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	288.9 MBit/s VHT-MCS 7 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	512	UDP	DUT-RX	VHT	4	6	20	4	VHT	6	20	-61 [-71, -76, -70, -66]	260.0 MBit/s VHT-MCS 6 short GI VHT-NSS 4	288.9 MBit/s VHT-MCS 7 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	512	TCP	DUT-TX	VHT	4	8	20	4	VHT	8	20	-65 [-70, -78, -70, -65]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	512	TCP	DUT-RX	VHT	3	8	20	4	VHT	8	20	-66 [-70, -77, -69, -67]	260.0 MBit/s VHT-MCS 8 short GI VHT-NSS 3	288.9 MBit/s VHT-MCS 7 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	1024	UDP	DUT-TX	VHT	3	8	20	4	VHT	8	20	-66 [-69, -80, -69, -67]	260.0 MBit/s VHT-MCS 8 short GI VHT-NSS 3	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
