"Rx Errors",
Date,"cv_udp-1.2-1.wlan000--1.0.0-A/Errors",Date,"cv_udp-1.2-1.wlan000--1.0.0-B/Errors",Date,"cv_tcp-1.2-1.wlan000--1.0.0-A/Errors",Date,"cv_tcp-1.2-1.wlan000--1.0.0-B/Errors",
"2021-06-15T04:55:39.883 UTC",0,"2021-06-15T04:55:39.883 UTC",0,NA,NA,NA,NA,
"2021-06-15T04:55:40.898 UTC",0,"2021-06-15T04:55:40.898 UTC",0,NA,NA,NA,NA,
"2021-06-15T04:55:41.910 UTC",0,"2021-06-15T04:55:41.910 UTC",39,NA,NA,NA,NA,
"2021-06-15T04:55:42.924 UTC",0,"2021-06-15T04:55:42.924 UTC",106,NA,NA,NA,NA,
"2021-06-15T04:55:43.935 UTC",0,"2021-06-15T04:55:43.935 UTC",215,NA,NA,NA,NA,
"2021-06-15T04:55:44.948 UTC",0,"2021-06-15T04:55:44.948 UTC",285,NA,NA,NA,NA,
"2021-06-15T04:55:45.961 UTC",0,"2021-06-15T04:55:45.961 UTC",285,NA,NA,NA,NA,
"2021-06-15T04:55:46.974 UTC",0,"2021-06-15T04:55:46.974 UTC",370,NA,NA,NA,NA,
"2021-06-15T04:55:47.986 UTC",0,"2021-06-15T04:55:47.986 UTC",473,NA,NA,NA,NA,
"2021-06-15T04:55:48.999 UTC",0,"2021-06-15T04:55:48.999 UTC",555,NA,NA,NA,NA,
"2021-06-15T04:55:50.011 UTC",0,"2021-06-15T04:55:50.011 UTC",603,NA,NA,NA,NA,
"2021-06-15T04:55:51.022 UTC",0,"2021-06-15T04:55:51.022 UTC",669,NA,NA,NA,NA,
"2021-06-15T04:55:52.035 UTC",0,"2021-06-15T04:55:52.035 UTC",755,NA,NA,NA,NA,
"2021-06-15T04:55:53.047 UTC",0,"2021-06-15T04:55:53.047 UTC",801,NA,NA,NA,NA,
"2021-06-15T04:55:54.060 UTC",0,"2021-06-15T04:55:54.060 UTC",865,NA,NA,NA,NA,
"2021-06-15T04:55:55.073 UTC",0,"2021-06-15T04:55:55.073 UTC",924,NA,NA,NA,NA,
"2021-06-15T04:55:56.150 UTC",0,"2021-06-15T04:55:56.150 UTC",976,NA,NA,NA,NA,
"2021-06-15T04:55:57.162 UTC",0,"2021-06-15T04:55:57.162 UTC",1072,NA,NA,NA,NA,
"2021-06-15T04:55:58.176 UTC",0,"2021-06-15T04:55:58.176 UTC",1162,NA,NA,NA,NA,
"2021-06-15T04:55:59.188 UTC",0,"2021-06-15T04:55:59.188 UTC",1265,NA,NA,NA,NA,
"2021-06-15T04:56:00.199 UTC",0,"2021-06-15T04:56:00.199 UTC",1384,NA,NA,NA,NA,
"2021-06-15T04:56:01.213 UTC",0,"2021-06-15T04:56:01.213 UTC",1453,NA,NA,NA,NA,
"2021-06-15T04:56:02.225 UTC",0,"2021-06-15T04:56:02.225 UTC",1533,NA,NA,NA,NA,
"2021-06-15T04:56:03.239 UTC",0,"2021-06-15T04:56:03.239 UTC",1613,NA,NA,NA,NA,
"2021-06-15T04:56:04.253 UTC",0,"2021-06-15T04:56:04.253 UTC",1650,NA,NA,NA,NA,
"2021-06-15T04:56:05.265 UTC",0,"2021-06-15T04:56:05.265 UTC",1731,NA,NA,NA,NA,
"2021-06-15T04:56:06.280 UTC",0,"2021-06-15T04:56:06.280 UTC",1807,NA,NA,NA,NA,
"2021-06-15T04:56:07.293 UTC",0,"2021-06-15T04:56:07.293 UTC",1839,NA,NA,NA,NA,
"2021-06-15T04:56:08.307 UTC",0,"2021-06-15T04:56:08.307 UTC",1931,NA,NA,NA,NA,
"2021-06-15T04:56:09.321 UTC",0,"2021-06-15T04:56:09.321 UTC",2049,NA,NA,NA,NA,
"2021-06-15T04:56:10.333 UTC",0,"2021-06-15T04:56:10.333 UTC",2150,NA,NA,NA,NA,
"2021-06-15T04:56:11.345 UTC",0,"2021-06-15T04:56:11.345 UTC",2221,NA,NA,NA,NA,
"2021-06-15T04:56:12.359 UTC",0,"2021-06-15T04:56:12.359 UTC",2344,NA,NA,NA,NA,
"2021-06-15T04:56:13.371 UTC",0,"2021-06-15T04:56:13.371 UTC",2455,NA,NA,NA,NA,
"2021-06-15T04:56:14.384 UTC",0,"2021-06-15T04:56:14.384 UTC",2519,NA,NA,NA,NA,
"2021-06-15T04:56:15.396 UTC",0,"2021-06-15T04:56:15.396 UTC",2594,NA,NA,NA,NA,
"2021-06-15T04:56:16.408 UTC",0,"2021-06-15T04:56:16.408 UTC",2680,NA,NA,NA,NA,
"2021-06-15T04:56:17.420 UTC",0,"2021-06-15T04:56:17.420 UTC",2769,NA,NA,NA,NA,
"2021-06-15T04:56:18.434 UTC",0,"2021-06-15T04:56:18.434 UTC",2836,NA,NA,NA,NA,
"2021-06-15T04:56:19.449 UTC",0,"2021-06-15T04:56:19.449 UTC",2891,NA,NA,NA,NA,
"2021-06-15T04:56:20.465 UTC",0,"2021-06-15T04:56:20.465 UTC",2995,NA,NA,NA,NA,
"2021-06-15T04:56:21.476 UTC",0,"2021-06-15T04:56:21.476 UTC",3109,NA,NA,NA,NA,
"2021-06-15T04:56:22.489 UTC",0,"2021-06-15T04:56:22.489 UTC",3165,NA,NA,NA,NA,
"2021-06-15T04:56:23.501 UTC",0,"2021-06-15T04:56:23.501 UTC",3253,NA,NA,NA,NA,
"2021-06-15T04:56:24.513 UTC",0,"2021-06-15T04:56:24.513 UTC",3260,NA,NA,NA,NA,
"2021-06-15T04:56:25.524 UTC",0,"2021-06-15T04:56:25.524 UTC",3345,NA,NA,NA,NA,
"2021-06-15T04:56:26.536 UTC",0,"2021-06-15T04:56:26.536 UTC",3345,NA,NA,NA,NA,
"2021-06-15T04:56:27.549 UTC",0,"2021-06-15T04:56:27.549 UTC",3394,NA,NA,NA,NA,
"2021-06-15T04:56:28.562 UTC",0,"2021-06-15T04:56:28.562 UTC",3502,NA,NA,NA,NA,
"2021-06-15T04:56:29.574 UTC",0,"2021-06-15T04:56:29.574 UTC",3608,NA,NA,NA,NA,
"2021-06-15T04:56:30.588 UTC",0,"2021-06-15T04:56:30.588 UTC",3834,NA,NA,NA,NA,
"2021-06-15T04:56:31.599 UTC",0,"2021-06-15T04:56:31.599 UTC",3938,NA,NA,NA,NA,
"2021-06-15T04:56:32.612 UTC",0,"2021-06-15T04:56:32.612 UTC",4009,NA,NA,NA,NA,
"2021-06-15T04:56:33.630 UTC",0,"2021-06-15T04:56:33.630 UTC",4102,NA,NA,NA,NA,
"2021-06-15T04:56:34.642 UTC",0,"2021-06-15T04:56:34.642 UTC",4161,NA,NA,NA,NA,
"2021-06-15T04:56:35.663 UTC",0,"2021-06-15T04:56:35.663 UTC",4241,NA,NA,NA,NA,
"2021-06-15T04:56:36.675 UTC",0,"2021-06-15T04:56:36.675 UTC",4307,NA,NA,NA,NA,
"2021-06-15T04:56:37.688 UTC",0,"2021-06-15T04:56:37.688 UTC",4423,NA,NA,NA,NA,
"2021-06-15T04:56:38.701 UTC",0,"2021-06-15T04:56:38.701 UTC",4503,NA,NA,NA,NA,
"2021-06-15T04:56:39.714 UTC",0,"2021-06-15T04:56:39.714 UTC",4625,NA,NA,NA,NA,
"2021-06-15T04:56:40.724 UTC",0,"2021-06-15T04:56:40.724 UTC",4690,NA,NA,NA,NA,
