Step Index	Position [Deg]	Attenuation [dB]	Throughput [Mbps]	Beacon RSSI [dBm]	Data RSSI [dBm]
0	NA	0	40.97	-47	-52
1	NA	0	17.05	-48	-48
2	NA	0	229.63	-48	-52
3	NA	0	98.22	-48	-48
4	NA	0	71.49	-48	-53
5	NA	0	73.42	-48	-53
6	NA	0	477.15	-48	-53
7	NA	0	214.30	-48	-48
8	NA	0	173.37	-48	-53
9	NA	0	186.69	-48	-53
10	NA	0	987.20	-48	-53
11	NA	0	494.06	-48	-48
12	NA	0	368.05	-48	-53
13	NA	0	457.28	-48	-54
14	NA	0	1,040.95	-48	-53
15	NA	0	1,071.90	-48	-48
16	NA	0	476.58	-48	-53
17	NA	0	962.67	-48	-53
18	NA	0	1,086.68	-48	-54
19	NA	0	1,385.03	-49	-50
20	NA	0	510.56	-49	-53
21	NA	0	1,227.19	-49	-52
22	NA	0	0.84	-49	-53
23	NA	0	93.98	-49	-49
24	NA	0	486.36	-49	-53
25	NA	0	1,239.18	-49	-54
