"Realtime Throughput",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UL + DL Sum/RX (Mbps)",
"2022-02-16T07:32:58.199 UTC",0,"2022-02-16T07:32:58.199 UTC",0,"2022-02-16T07:32:58.199 UTC",0,
"2022-02-16T07:32:59.208 UTC",0,"2022-02-16T07:32:59.208 UTC",0,"2022-02-16T07:32:59.208 UTC",0,
"2022-02-16T07:33:00.213 UTC",0,"2022-02-16T07:33:00.213 UTC",0,"2022-02-16T07:33:00.213 UTC",0,
"2022-02-16T07:33:01.218 UTC",0,"2022-02-16T07:33:01.218 UTC",0,"2022-02-16T07:33:01.218 UTC",0,
"2022-02-16T07:33:02.302 UTC",0,"2022-02-16T07:33:02.302 UTC",0,"2022-02-16T07:33:02.302 UTC",0,
"2022-02-16T07:33:03.309 UTC",0,"2022-02-16T07:33:03.309 UTC",0,"2022-02-16T07:33:03.309 UTC",0,
"2022-02-16T07:33:04.313 UTC",0,"2022-02-16T07:33:04.313 UTC",0,"2022-02-16T07:33:04.313 UTC",0,
"2022-02-16T07:33:05.318 UTC",0,"2022-02-16T07:33:05.318 UTC",0,"2022-02-16T07:33:05.318 UTC",0,
"2022-02-16T07:33:06.323 UTC",0,"2022-02-16T07:33:06.323 UTC",0,"2022-02-16T07:33:06.323 UTC",0,
"2022-02-16T07:33:07.328 UTC",0,"2022-02-16T07:33:07.328 UTC",0,"2022-02-16T07:33:07.328 UTC",0,
"2022-02-16T07:33:08.335 UTC",0,"2022-02-16T07:33:08.335 UTC",0,"2022-02-16T07:33:08.335 UTC",0,
"2022-02-16T07:33:09.341 UTC",0,"2022-02-16T07:33:09.341 UTC",0,"2022-02-16T07:33:09.341 UTC",0,
"2022-02-16T07:33:10.350 UTC",0,"2022-02-16T07:33:10.350 UTC",31.73541,"2022-02-16T07:33:10.350 UTC",31.73541,
"2022-02-16T07:33:11.364 UTC",0,"2022-02-16T07:33:11.364 UTC",38.35271,"2022-02-16T07:33:11.364 UTC",38.35271,
"2022-02-16T07:33:12.371 UTC",0,"2022-02-16T07:33:12.371 UTC",39.97313,"2022-02-16T07:33:12.371 UTC",39.97313,
"2022-02-16T07:33:13.378 UTC",0,"2022-02-16T07:33:13.378 UTC",40.02109,"2022-02-16T07:33:13.378 UTC",40.02109,
"2022-02-16T07:33:14.384 UTC",0,"2022-02-16T07:33:14.384 UTC",41.11313,"2022-02-16T07:33:14.384 UTC",41.11313,
"2022-02-16T07:33:15.392 UTC",0,"2022-02-16T07:33:15.392 UTC",41.11154,"2022-02-16T07:33:15.392 UTC",41.11154,
"2022-02-16T07:33:16.397 UTC",0,"2022-02-16T07:33:16.397 UTC",40.62568,"2022-02-16T07:33:16.397 UTC",40.62568,
"2022-02-16T07:33:17.405 UTC",0,"2022-02-16T07:33:17.405 UTC",40.44506,"2022-02-16T07:33:17.405 UTC",40.44506,
"2022-02-16T07:33:18.417 UTC",0,"2022-02-16T07:33:18.417 UTC",39.60299,"2022-02-16T07:33:18.417 UTC",39.60299,
"2022-02-16T07:33:19.422 UTC",0,"2022-02-16T07:33:19.422 UTC",39.87231,"2022-02-16T07:33:19.422 UTC",39.87231,
"2022-02-16T07:33:20.428 UTC",0,"2022-02-16T07:33:20.428 UTC",39.87231,"2022-02-16T07:33:20.428 UTC",39.87231,
"2022-02-16T07:33:21.437 UTC",0,"2022-02-16T07:33:21.437 UTC",39.8953,"2022-02-16T07:33:21.437 UTC",39.8953,
"2022-02-16T07:33:22.444 UTC",0,"2022-02-16T07:33:22.444 UTC",40.63724,"2022-02-16T07:33:22.444 UTC",40.63724,
"2022-02-16T07:33:23.455 UTC",0,"2022-02-16T07:33:23.455 UTC",40.61783,"2022-02-16T07:33:23.455 UTC",40.61783,
"2022-02-16T07:33:24.461 UTC",0,"2022-02-16T07:33:24.461 UTC",40.73887,"2022-02-16T07:33:24.461 UTC",40.73887,
"2022-02-16T07:33:25.483 UTC",0,"2022-02-16T07:33:25.483 UTC",0,"2022-02-16T07:33:25.483 UTC",0,
"2022-02-16T07:33:26.489 UTC",0,"2022-02-16T07:33:26.489 UTC",0,"2022-02-16T07:33:26.489 UTC",0,
"2022-02-16T07:33:27.496 UTC",0,"2022-02-16T07:33:27.496 UTC",0,"2022-02-16T07:33:27.496 UTC",0,
"2022-02-16T07:33:28.502 UTC",18.95961,"2022-02-16T07:33:28.502 UTC",0,"2022-02-16T07:33:28.502 UTC",18.95961,
"2022-02-16T07:33:29.507 UTC",19.1011,"2022-02-16T07:33:29.507 UTC",0,"2022-02-16T07:33:29.507 UTC",19.1011,
"2022-02-16T07:33:30.513 UTC",18.93848,"2022-02-16T07:33:30.513 UTC",0,"2022-02-16T07:33:30.513 UTC",18.93848,
"2022-02-16T07:33:31.519 UTC",18.93045,"2022-02-16T07:33:31.519 UTC",0,"2022-02-16T07:33:31.519 UTC",18.93045,
"2022-02-16T07:33:32.525 UTC",18.91779,"2022-02-16T07:33:32.525 UTC",0,"2022-02-16T07:33:32.525 UTC",18.91779,
"2022-02-16T07:33:33.529 UTC",18.43618,"2022-02-16T07:33:33.529 UTC",0,"2022-02-16T07:33:33.529 UTC",18.43618,
"2022-02-16T07:33:34.535 UTC",18.49282,"2022-02-16T07:33:34.535 UTC",0,"2022-02-16T07:33:34.535 UTC",18.49282,
"2022-02-16T07:33:35.541 UTC",18.50965,"2022-02-16T07:33:35.541 UTC",0,"2022-02-16T07:33:35.541 UTC",18.50965,
"2022-02-16T07:33:36.546 UTC",18.96688,"2022-02-16T07:33:36.546 UTC",0,"2022-02-16T07:33:36.546 UTC",18.96688,
"2022-02-16T07:33:37.554 UTC",18.92326,"2022-02-16T07:33:37.554 UTC",0,"2022-02-16T07:33:37.554 UTC",18.92326,
"2022-02-16T07:33:38.559 UTC",18.9257,"2022-02-16T07:33:38.559 UTC",0,"2022-02-16T07:33:38.559 UTC",18.9257,
"2022-02-16T07:33:39.565 UTC",18.92787,"2022-02-16T07:33:39.565 UTC",0,"2022-02-16T07:33:39.565 UTC",18.92787,
"2022-02-16T07:33:40.572 UTC",18.52119,"2022-02-16T07:33:40.572 UTC",0,"2022-02-16T07:33:40.572 UTC",18.52119,
"2022-02-16T07:33:41.579 UTC",18.58311,"2022-02-16T07:33:41.579 UTC",0,"2022-02-16T07:33:41.579 UTC",18.58311,
"2022-02-16T07:33:42.585 UTC",18.59258,"2022-02-16T07:33:42.585 UTC",0,"2022-02-16T07:33:42.585 UTC",18.59258,
"2022-02-16T07:33:43.591 UTC",0,"2022-02-16T07:33:43.591 UTC",0,"2022-02-16T07:33:43.591 UTC",0,
"2022-02-16T07:33:44.597 UTC",0,"2022-02-16T07:33:44.597 UTC",64.02137,"2022-02-16T07:33:44.597 UTC",64.02137,
"2022-02-16T07:33:45.608 UTC",0,"2022-02-16T07:33:45.608 UTC",163.12497,"2022-02-16T07:33:45.608 UTC",163.12497,
"2022-02-16T07:33:46.616 UTC",0,"2022-02-16T07:33:46.616 UTC",164.08041,"2022-02-16T07:33:46.616 UTC",164.08041,
"2022-02-16T07:33:47.622 UTC",0,"2022-02-16T07:33:47.622 UTC",165.78581,"2022-02-16T07:33:47.622 UTC",165.78581,
