Channel	Frequency	Security	NSS	Cfg-Mode	Bandwidth	Pkt	Traffic-Type	Direction	Atten	Rotation	Offered-1m	Rx-Bps	Rx-Bps-1m	Rx-Bps-LL	Rx-Bps-3s	RSSI	Tx-Failed	Tx-Failed%	Tx-Rate	Rx-Rate	Rpt-Mode	Rpt-Mode-Brief
36	5180	WPA2	4	AUTO	80	60	UDP	DUT-TX	NA	NA	85.535 Mbps	41.125 Mbps	41.307 Mbps	137.69 Mbps	41.366 Mbps	-52	0 / 9061588	0	260 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	80	60	UDP	DUT-RX	NA	NA	17.235 Mbps	17.045 Mbps	17.125 Mbps	57.084 Mbps	17.091 Mbps	-48	189 / 2030331	0.009	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	80	142	UDP	DUT-TX	NA	NA	509.963 Mbps	228.113 Mbps	228.208 Mbps	324.056 Mbps	231.028 Mbps	-53	0 / 10072288	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	80	142	UDP	DUT-RX	NA	NA	98.644 Mbps	98.578 Mbps	98.72 Mbps	140.183 Mbps	98.298 Mbps	-48	0 / 1976434	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	80	142	TCP	DUT-TX	NA	NA	74.422 Mbps	72.928 Mbps	73.11 Mbps	125.142 Mbps	72.258 Mbps	-53	0 / 1751600	0	1560 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	80	142	TCP	DUT-RX	NA	NA	79.567 Mbps	73.407 Mbps	73.665 Mbps	122.587 Mbps	73.454 Mbps	-53	0 / 1820786	0	1560 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	80	256	UDP	DUT-TX	NA	NA	1.09 Gbps	489.423 Mbps	490.912 Mbps	587.259 Mbps	493.573 Mbps	-52	0 / 11058500	0	1560 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	80	256	UDP	DUT-RX	NA	NA	214.242 Mbps	213.597 Mbps	214.269 Mbps	256.322 Mbps	213.78 Mbps	-49	0 / 1881768	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	80	256	TCP	DUT-TX	NA	NA	179.493 Mbps	177.004 Mbps	177.478 Mbps	225.164 Mbps	183.513 Mbps	-53	0 / 1721168	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	80	256	TCP	DUT-RX	NA	NA	190.644 Mbps	186.244 Mbps	187.02 Mbps	240.303 Mbps	187.171 Mbps	-53	0 / 2099423	0	1733.3 Mbps	1.3 Gbps	802.11an-AC	802.11ac
36	5180	WPA2	4	AUTO	80	512	UDP	DUT-TX	NA	NA	1.468 Gbps	971.573 Mbps	977.077 Mbps	1.064 Gbps	986.298 Mbps	-53	0 / 5751545	0	1300 Mbps	1.3 Gbps	802.11an-AC	802.11ac
