Channel,Frequency,Security,NSS,Cfg-Mode,Bandwidth,Pkt,Traffic-Type,Direction,Tx-Mode-Rpt,Tx-NSS-Rpt,Tx-MCS,Tx-BW-Rpt,Rx-Mode-Rpt,Rx-NSS-Rpt,Rx-MCS,Rx-BW-Rpt,RSSI dBm,Tx-Phy-Rate,Rx-Phy-Rate
36,5180,WPA2,4,AUTO,160,60,UDP,DUT-TX,VHT,4,2,80,3,VHT,2,80,-53 [-57 -62 -53 -58],390.2 MBit/s VHT-MCS 2 80MHz short GI VHT-NSS 4,1300.0 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 3
36,5180,WPA2,4,AUTO,160,60,UDP,DUT-RX,VHT,4,9,80,3,VHT,9,80,-49 [-57 -62 -53 -58],1733.3 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 4,1300.0 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 3
36,5180,WPA2,4,AUTO,160,142,UDP,DUT-TX,VHT,4,9,80,3,VHT,9,80,-53 [-56 -62 -53 -58],1733.3 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 4,1300.0 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 3
36,5180,WPA2,4,AUTO,160,142,UDP,DUT-RX,VHT,4,9,80,3,VHT,9,80,-48 [-57 -63 -54 -58],1733.3 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 4,1300.0 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 3
36,5180,WPA2,4,AUTO,160,142,TCP,DUT-TX,VHT,3,9,80,3,VHT,9,80,-54 [-57 -63 -54 -58],1300.0 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 3,1170.0 MBit/s VHT-MCS 8 80MHz short GI VHT-NSS 3
36,5180,WPA2,4,AUTO,160,142,TCP,DUT-RX,VHT,4,9,80,3,VHT,9,80,-54 [-59 -63 -54 -58],1733.3 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 4,1300.0 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 3
36,5180,WPA2,4,AUTO,160,256,UDP,DUT-TX,VHT,4,9,80,3,VHT,9,80,-54 [-58 -62 -54 -58],1733.3 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 4,1300.0 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 3
36,5180,WPA2,4,AUTO,160,256,UDP,DUT-RX,VHT,4,9,80,3,VHT,9,80,-49 [-58 -63 -54 -58],1733.3 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 4,1300.0 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 3
36,5180,WPA2,4,AUTO,160,256,TCP,DUT-TX,VHT,4,9,80,3,VHT,9,80,-54 [-58 -63 -54 -59],1733.3 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 4,1300.0 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 3
36,5180,WPA2,4,AUTO,160,256,TCP,DUT-RX,VHT,4,9,80,3,VHT,9,80,-53 [-56 -62 -53 -58],1733.3 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 4,1300.0 MBit/s VHT-MCS 9 80MHz short GI VHT-NSS 3
