Channel,Frequency,Security,NSS,Cfg-Mode,Bandwidth,Pkt,Traffic-Type,Direction,Atten,Rotation,Offered-1m,Rx-Bps,Rx-Bps-1m,Rx-Bps-LL,Rx-Bps-3s,RSSI,Tx-Failed,Tx-Failed%,Tx-Rate,Rx-Rate,Rpt-Mode,Rpt-Mode-Brief
40,5200,WPA2,4,AUTO,20,60,UDP,DUT-TX,NA,NA,95.324 Mbps,40.103 Mbps,40.204 Mbps,134.013 Mbps,40.046 Mbps,-66,0 / 10073454,0,57.8 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,60,UDP,DUT-RX,NA,NA,18.958 Mbps,18.835 Mbps,18.896 Mbps,62.985 Mbps,18.928 Mbps,-61,382 / 2365421,0.016,346.7 Mbps,260 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,142,UDP,DUT-TX,NA,NA,320.731 Mbps,167.323 Mbps,168.705 Mbps,239.561 Mbps,170.51 Mbps,-66,0 / 6227663,0,260 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,142,UDP,DUT-RX,NA,NA,111.854 Mbps,110.928 Mbps,111.831 Mbps,158.8 Mbps,110.956 Mbps,-60,767 / 2097143,0.037,346.7 Mbps,346.8 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,142,TCP,DUT-TX,NA,NA,53.753 Mbps,52.913 Mbps,53.352 Mbps,89.126 Mbps,54.101 Mbps,-65,0 / 1478718,0,346.7 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,142,TCP,DUT-RX,NA,NA,83.916 Mbps,79.359 Mbps,80 Mbps,136.811 Mbps,81.161 Mbps,-65,765 / 1986293,0.039,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,256,UDP,DUT-TX,NA,NA,327.747 Mbps,198.33 Mbps,198.555 Mbps,237.524 Mbps,199.824 Mbps,-65,0 / 2985157,0,346.7 Mbps,288.9 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,256,UDP,DUT-RX,NA,NA,193.833 Mbps,193.265 Mbps,193.778 Mbps,231.809 Mbps,201.274 Mbps,-59,384 / 1817270,0.021,346.7 Mbps,312 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,256,TCP,DUT-TX,NA,NA,105.973 Mbps,105.615 Mbps,105.91 Mbps,136.031 Mbps,96.501 Mbps,-66,0 / 1037453,0,346.7 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,256,TCP,DUT-RX,NA,NA,158.035 Mbps,153.107 Mbps,153.619 Mbps,197.295 Mbps,160.166 Mbps,-64,384 / 1524490,0.025,346.7 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,512,UDP,DUT-TX,NA,NA,328.642 Mbps,238.601 Mbps,239.503 Mbps,260.905 Mbps,221.041 Mbps,-66,0 / 1320329,0,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,512,UDP,DUT-RX,NA,NA,247.392 Mbps,244.55 Mbps,245.709 Mbps,267.666 Mbps,257.841 Mbps,-62,384 / 981021,0.039,346.7 Mbps,346.8 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,512,TCP,DUT-TX,NA,NA,168.182 Mbps,167.603 Mbps,168.22 Mbps,188.791 Mbps,171.707 Mbps,-66,0 / 733186,0,260.1 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,512,TCP,DUT-RX,NA,NA,199.115 Mbps,192.399 Mbps,193.306 Mbps,216.826 Mbps,208.659 Mbps,-64,384 / 923476,0.042,346.7 Mbps,288.9 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,1024,UDP,DUT-TX,NA,NA,328.993 Mbps,238.845 Mbps,240.013 Mbps,250.278 Mbps,249.228 Mbps,-66,0 / 729090,0,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,1024,UDP,DUT-RX,NA,NA,244.326 Mbps,239.339 Mbps,240.759 Mbps,251.056 Mbps,266.17 Mbps,-61,576 / 459933,0.125,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,1024,TCP,DUT-TX,NA,NA,182.313 Mbps,179.957 Mbps,181.147 Mbps,191.556 Mbps,187.284 Mbps,-66,0 / 356619,0,289 Mbps,385.3 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,1024,TCP,DUT-RX,NA,NA,222.359 Mbps,217.953 Mbps,219.632 Mbps,231.897 Mbps,228.138 Mbps,-66,384 / 429086,0.089,346.7 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,MTU,UDP,DUT-TX,NA,NA,329.833 Mbps,253.399 Mbps,255.296 Mbps,262.58 Mbps,260.636 Mbps,-65,0 / 425549,0,346.7 Mbps,288.9 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,MTU,UDP,DUT-RX,NA,NA,271.785 Mbps,266.599 Mbps,266.636 Mbps,274.244 Mbps,284.664 Mbps,-62,384 / 341706,0.112,346.7 Mbps,312 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,MTU,TCP,DUT-TX,NA,NA,204.894 Mbps,202.4 Mbps,203.95 Mbps,213.079 Mbps,206.672 Mbps,-65,0 / 302753,0,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,MTU,TCP,DUT-RX,NA,NA,270.293 Mbps,265.777 Mbps,265.875 Mbps,277.629 Mbps,245.738 Mbps,-67,384 / 405548,0.095,346.7 Mbps,385.3 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,4000,UDP,DUT-TX,NA,NA,329.849 Mbps,81.471 Mbps,82.085 Mbps,84.698 Mbps,0 bps,-68,0 / 483827,0,346.7 Mbps,288.9 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,4000,UDP,DUT-RX,NA,NA,233.689 Mbps,0 bps,0 bps,0 bps,0 bps,-61,768 / 324709,0.237,346.7 Mbps,288.9 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,4000,TCP,DUT-TX,NA,NA,195.799 Mbps,194.29 Mbps,195.729 Mbps,204.488 Mbps,180.537 Mbps,-66,0 / 306584,0,288.9 Mbps,289 Mbps,802.11an-AC,802.11ac
40,5200,WPA2,4,AUTO,20,4000,TCP,DUT-RX,NA,NA,253.322 Mbps,248.867 Mbps,250.862 Mbps,261.93 Mbps,233.314 Mbps,-67,576 / 394134,0.146,346.7 Mbps,346.7 Mbps,802.11an-AC,802.11ac
