Channel	Frequency	Security	NSS	Cfg-Mode	Bandwidth	Pkt	Traffic-Type	Direction	Tx-Mode-Rpt	Tx-NSS-Rpt	Tx-MCS	Tx-BW-Rpt	Rx-Mode-Rpt	Rx-NSS-Rpt	Rx-MCS	Rx-BW-Rpt	RSSI dBm	Tx-Phy-Rate	Rx-Phy-Rate
40	5200	WPA2	4	AUTO	20	60	UDP	DUT-TX	VHT	4	1	20	3	VHT	1	20	-66 [-70, -77, -69, -67]	57.8 MBit/s VHT-MCS 1 short GI VHT-NSS 4	289.0 MBit/s VHT-MCS 9 short GI VHT-NSS 3
40	5200	WPA2	4	AUTO	20	60	UDP	DUT-RX	VHT	4	8	20	3	VHT	8	20	-62 [-71, -77, -68, -67]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	260.0 MBit/s VHT-MCS 8 short GI VHT-NSS 3
40	5200	WPA2	4	AUTO	20	142	UDP	DUT-TX	VHT	4	6	20	4	VHT	6	20	-67 [-71, -76, -70, -68]	260.0 MBit/s VHT-MCS 6 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	142	UDP	DUT-RX	VHT	4	8	20	4	VHT	8	20	-60 [-72, -77, -69, -68]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	346.8 MBit/s VHT-MCS 9 VHT-NSS 4
40	5200	WPA2	4	AUTO	20	142	TCP	DUT-TX	VHT	4	8	20	3	VHT	8	20	-66 [-71, -77, -69, -66]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	289.0 MBit/s VHT-MCS 9 short GI VHT-NSS 3
40	5200	WPA2	4	AUTO	20	142	TCP	DUT-RX	VHT	4	8	20	4	VHT	8	20	-65 [-70, -79, -71, -65]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	256	UDP	DUT-TX	VHT	4	8	20	4	VHT	8	20	-65 [-71, -77, -68, -67]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	288.9 MBit/s VHT-MCS 7 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	256	UDP	DUT-RX	VHT	4	8	20	4	VHT	8	20	-60 [-71, -78, -69, -67]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	312.0 MBit/s VHT-MCS 8 VHT-NSS 4
40	5200	WPA2	4	AUTO	20	256	TCP	DUT-TX	VHT	4	8	20	3	VHT	8	20	-66 [-69, -77, -70, -66]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	289.0 MBit/s VHT-MCS 9 short GI VHT-NSS 3
40	5200	WPA2	4	AUTO	20	256	TCP	DUT-RX	VHT	4	8	20	3	VHT	8	20	-65 [-70, -77, -72, -65]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	289.0 MBit/s VHT-MCS 9 short GI VHT-NSS 3
40	5200	WPA2	4	AUTO	20	512	UDP	DUT-TX	VHT	4	8	20	4	VHT	8	20	-67 [-71, -77, -70, -69]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	512	UDP	DUT-RX	VHT	4	6	20	4	VHT	6	20	-63 [-70, -78, -74, -68]	260.0 MBit/s VHT-MCS 6 short GI VHT-NSS 4	346.8 MBit/s VHT-MCS 9 VHT-NSS 4
40	5200	WPA2	4	AUTO	20	512	TCP	DUT-TX	VHT	3	9	20	3	VHT	9	20	-66 [-70, -77, -73, -66]	289.0 MBit/s VHT-MCS 9 short GI VHT-NSS 3	289.0 MBit/s VHT-MCS 9 short GI VHT-NSS 3
40	5200	WPA2	4	AUTO	20	512	TCP	DUT-RX	VHT	4	8	20	4	VHT	8	20	-65 [-70, -77, -69, -65]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	288.9 MBit/s VHT-MCS 7 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	1024	UDP	DUT-TX	VHT	4	8	20	4	VHT	8	20	-66 [-71, -78, -69, -68]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	1024	UDP	DUT-RX	VHT	4	8	20	4	VHT	8	20	-61 [-72, -80, -70, -67]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	1024	TCP	DUT-TX	VHT	3	9	20	4	VHT	9	20	-67 [-71, -78, -70, -69]	289.0 MBit/s VHT-MCS 9 short GI VHT-NSS 3	385.3 MBit/s VHT-MCS 9 short GI VHT-NSS 4
40	5200	WPA2	4	AUTO	20	1024	TCP	DUT-RX	VHT	4	8	20	4	VHT	8	20	-67 [-70, -80, -70, -67]	346.7 MBit/s VHT-MCS 8 short GI VHT-NSS 4	312.0 MBit/s VHT-MCS 8 VHT-NSS 4
