Step Index,Position [Deg],Attenuation [dB],Throughput [Mbps],Beacon RSSI [dBm],Data RSSI [dBm]
0,NA,0,41.44,-47,-52
1,NA,0,17.08,-47,-47
2,NA,0,220.95,-47,-53
3,NA,0,98.33,-47,-48
4,NA,0,71.50,-47,-53
5,NA,0,73.35,-47,-53
6,NA,0,486.73,-48,-53
7,NA,0,212.05,-47,-47
8,NA,0,178.16,-47,-53
9,NA,0,187.23,-47,-53
10,NA,0,1006.47,-48,-53
11,NA,0,494.86,-48,-48
12,NA,0,371.28,-48,-53
13,NA,0,456.56,-47,-53
14,NA,0,1064.31,-49,-54
15,NA,0,1096.25,-49,-49
16,NA,0,482.10,-48,-53
17,NA,0,976.63,-48,-54
18,NA,0,1087.36,-48,-54
19,NA,0,1347.46,-49,-49
20,NA,0,513.19,-48,-53
21,NA,0,1238.49,-48,-53
22,NA,0,1.07,-48,-54
23,NA,0,139.36,-49,-49
24,NA,0,507.17,-49,-53
25,NA,0,1232.47,-49,-54
