"Rx Errors",
Date,"cv_udp-1.1-1.wlan000--1.0.0-A/Errors",Date,"cv_udp-1.1-1.wlan000--1.0.0-B/Errors",Date,"cv_tcp-1.1-1.wlan000--1.0.0-A/Errors",Date,"cv_tcp-1.1-1.wlan000--1.0.0-B/Errors",
NA,NA,NA,NA,"2021-07-08T13:11:01.703 UTC",0,"2021-07-08T13:11:01.703 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:02.712 UTC",0,"2021-07-08T13:11:02.712 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:03.722 UTC",0,"2021-07-08T13:11:03.722 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:04.731 UTC",0,"2021-07-08T13:11:04.731 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:05.741 UTC",0,"2021-07-08T13:11:05.741 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:06.751 UTC",0,"2021-07-08T13:11:06.751 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:07.760 UTC",0,"2021-07-08T13:11:07.760 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:08.770 UTC",0,"2021-07-08T13:11:08.770 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:09.781 UTC",0,"2021-07-08T13:11:09.781 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:10.791 UTC",0,"2021-07-08T13:11:10.791 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:11.801 UTC",0,"2021-07-08T13:11:11.801 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:12.810 UTC",0,"2021-07-08T13:11:12.810 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:13.820 UTC",0,"2021-07-08T13:11:13.820 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:14.835 UTC",0,"2021-07-08T13:11:14.835 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:15.845 UTC",0,"2021-07-08T13:11:15.845 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:16.856 UTC",0,"2021-07-08T13:11:16.856 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:17.866 UTC",0,"2021-07-08T13:11:17.866 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:18.878 UTC",0,"2021-07-08T13:11:18.878 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:19.889 UTC",0,"2021-07-08T13:11:19.889 UTC",0,
NA,NA,NA,NA,"2021-07-08T13:11:20.900 UTC",0,"2021-07-08T13:11:20.900 UTC",0,
