"TX Completion vs LANforge RSSI",
"RSSI","ch6-UDP-DUT-TX-1NSS-20Mhz-802.11b-MTU/TX Completion %","RSSI","ch6-UDP-DUT-RX-1NSS-20Mhz-802.11b-MTU/TX Completion %","RSSI","ch6-TCP-DUT-TX-1NSS-20Mhz-802.11b-MTU/TX Completion %","RSSI","ch6-TCP-DUT-RX-1NSS-20Mhz-802.11b-MTU/TX Completion %",
-84,100,-70,100,-83,100,-84,84.04908,
-83,100,-65,52.45902,-81,100,-81,99.58493,
-81,100,-61,-4.6729,-80,100,-81,98.07958,
-80,100,-57,99.78799,-80,100,-79,100,
-80,100,-53,99.83143,-80,100,-77,99.99312,
-80,100,-47,99.78597,-79,100,-73,99.83258,
-79,100,-41,99.79999,-79,100,-68,100,
-79,100,-38,99.84362,-77,100,-64,99.93413,
-79,100,-36,99.85932,-72,100,-59,99.93472,
-77,100,-33,99.8317,-67,100,-53,99.94119,
-72,100,NA,NA,-63,100,-49,99.99466,
-67,100,NA,NA,-57,100,-43,100,
-62,100,NA,NA,-53,100,-42,99.99455,
-58,100,NA,NA,-48,100,-37,99.99472,
-52,100,NA,NA,-42,100,-34,100,
-48,100,NA,NA,-38,100,NA,NA,
-42,100,NA,NA,-36,100,NA,NA,
-39,100,NA,NA,-33,100,NA,NA,
-38,100,NA,NA,NA,NA,NA,NA,
-34,100,NA,NA,NA,NA,NA,NA,
