"Throughput vs Calculated Signal",
"Signal","ch6-UDP-DUT-TX-1NSS-20Mhz-802.11b-MTU/Throughput Mbps","Signal","ch6-UDP-DUT-RX-1NSS-20Mhz-802.11b-MTU/Throughput Mbps","Signal","ch6-TCP-DUT-TX-1NSS-20Mhz-802.11b-MTU/Throughput Mbps","Signal","ch6-TCP-DUT-RX-1NSS-20Mhz-802.11b-MTU/Throughput Mbps",
-105,0.25089,-55,0,-100,0.13055,-85,0.02441,
-100,0.24792,-50,0,-95,0.18352,-75,1.05252,
-95,0.21057,-45,0,-85,0.02945,-70,1.81509,
-90,0.02778,-40,3.23009,-80,0.18425,-65,2.35201,
-85,0.16589,-35,3.64744,-75,0.76895,-60,2.73358,
-80,0.3546,-30,3.63623,-70,4.50255,-55,2.29563,
-75,2.21479,-25,3.027,-65,6.03267,-50,3.5937,
-70,6.61134,-20,3.62962,-60,6.03787,-45,3.21664,
-65,7.01839,-15,3.97272,-55,3.66473,-40,3.19837,
-60,7.02802,-10,3.65583,-50,4.60636,-35,3.30191,
-55,4.94406,NA,NA,-45,4.18443,-30,3.55666,
-50,7.08308,NA,NA,-40,4.28943,-25,3.49437,
-45,6.92578,NA,NA,-35,4.30853,-20,3.54029,
-40,7.0513,NA,NA,-30,4.1046,-15,3.54147,
-35,7.10385,NA,NA,-25,4.52109,-10,3.56224,
-30,6.99816,NA,NA,-20,4.25038,NA,NA,
-25,7.08551,NA,NA,-15,5.63616,NA,NA,
-20,7.06076,NA,NA,-10,0,NA,NA,
-15,7.05362,NA,NA,NA,NA,NA,NA,
-10,7.04997,NA,NA,NA,NA,NA,NA,
