Date	test-rig	dut-hw-version	dut-sw-version	dut-model-num	dut-serial-num	test-priority	test-id	short-description	pass/fail	numeric-score	test details	Units	Graph-Group	Subtest-Pass	Subtest-Fail
1625822407616		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-0atten		7.046518	Throughput at specified settings.	Mbps	Throughput	0	0
1625822473036		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-50atten		6.851684	Throughput at specified settings.	Mbps	Throughput	0	0
1625822536456		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-100atten		6.865571	Throughput at specified settings.	Mbps	Throughput	0	0
1625822599928		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-150atten		6.890109	Throughput at specified settings.	Mbps	Throughput	0	0
1625822663426		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-200atten		6.804496	Throughput at specified settings.	Mbps	Throughput	0	0
1625822726909		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-250atten		6.906272	Throughput at specified settings.	Mbps	Throughput	0	0
1625822790386		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-300atten		6.867657	Throughput at specified settings.	Mbps	Throughput	0	0
1625822853807		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-350atten		6.730822	Throughput at specified settings.	Mbps	Throughput	0	0
1625822917412		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-400atten		6.901652	Throughput at specified settings.	Mbps	Throughput	0	0
1625822980858		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-450atten		4.804022	Throughput at specified settings.	Mbps	Throughput	0	0
1625823047493		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-500atten		7.027695	Throughput at specified settings.	Mbps	Throughput	0	0
1625823114065		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-550atten		7.018445	Throughput at specified settings.	Mbps	Throughput	0	0
1625823180636		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-600atten		6.610207	Throughput at specified settings.	Mbps	Throughput	0	0
1625823249205		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-650atten		2.212907	Throughput at specified settings.	Mbps	Throughput	0	0
1625823317751		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-700atten		0.353537	Throughput at specified settings.	Mbps	Throughput	0	0
1625823384275		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-750atten		0.166977	Throughput at specified settings.	Mbps	Throughput	0	0
1625823450848		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-800atten		0.029201	Throughput at specified settings.	Mbps	Throughput	0	0
1625823520635		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-850atten		0.211257	Throughput at specified settings.	Mbps	Throughput	0	0
1625823587235		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-900atten		0.248117	Throughput at specified settings.	Mbps	Throughput	0	0
1625823653778		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-TX-MTU-950atten		0.251253	Throughput at specified settings.	Mbps	Throughput	0	0
1625823720351		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-RX-MTU-0atten		3.655964	Throughput at specified settings.	Mbps	Throughput	0	0
1625823781821		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-RX-MTU-50atten		3.972827	Throughput at specified settings.	Mbps	Throughput	0	0
1625823843244		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-RX-MTU-100atten		3.630693	Throughput at specified settings.	Mbps	Throughput	0	0
1625823904664		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-RX-MTU-150atten		3.033185	Throughput at specified settings.	Mbps	Throughput	0	0
1625823968167		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-RX-MTU-200atten		3.625076	Throughput at specified settings.	Mbps	Throughput	0	0
1625824029614		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-RX-MTU-250atten		3.64857	Throughput at specified settings.	Mbps	Throughput	0	0
1625824091084		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-RX-MTU-300atten		3.230433	Throughput at specified settings.	Mbps	Throughput	0	0
1625824156644		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-RX-MTU-350atten		0.0	Throughput at specified settings.	Mbps	Throughput	0	0
1625824220124		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-RX-MTU-400atten		0.0	Throughput at specified settings.	Mbps	Throughput	0	0
1625824283569		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	UDP-DUT-RX-MTU-450atten		0.0	Throughput at specified settings.	Mbps	Throughput	0	0
1625824475622		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-0atten		0.0	Throughput at specified settings.	Mbps	Throughput	0	0
1625824658349		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-50atten		5.612584	Throughput at specified settings.	Mbps	Throughput	0	0
1625824735910		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-100atten		3.336366	Throughput at specified settings.	Mbps	Throughput	0	0
1625824811333		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-150atten		3.770369	Throughput at specified settings.	Mbps	Throughput	0	0
1625824888843		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-200atten		3.221655	Throughput at specified settings.	Mbps	Throughput	0	0
1625824966314		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-250atten		3.382761	Throughput at specified settings.	Mbps	Throughput	0	0
1625825043938		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-300atten		3.36802	Throughput at specified settings.	Mbps	Throughput	0	0
1625825117443		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-350atten		3.473656	Throughput at specified settings.	Mbps	Throughput	0	0
1625825190905		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-400atten		3.820955	Throughput at specified settings.	Mbps	Throughput	0	0
1625825277405		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-450atten		3.677186	Throughput at specified settings.	Mbps	Throughput	0	0
1625825344068		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-500atten		6.035564	Throughput at specified settings.	Mbps	Throughput	0	0
1625825410615		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-550atten		6.027296	Throughput at specified settings.	Mbps	Throughput	0	0
1625825477210		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-600atten		4.507941	Throughput at specified settings.	Mbps	Throughput	0	0
1625825642912		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-650atten		0.779373	Throughput at specified settings.	Mbps	Throughput	0	0
1625825709506		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-700atten		0.18455	Throughput at specified settings.	Mbps	Throughput	0	0
1625825776078		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-750atten		0.031667	Throughput at specified settings.	Mbps	Throughput	0	0
1625825860544		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-800atten		0.044193	Throughput at specified settings.	Mbps	Throughput	0	0
1625825927179		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-850atten		0.184479	Throughput at specified settings.	Mbps	Throughput	0	0
1625825993727		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-900atten		0.131725	Throughput at specified settings.	Mbps	Throughput	0	0
1625826060273		eap102	eap102-2021-06-25-pending-b6743c3.tar.g	eap102	903cb39d6959	90	Rate vs Range	TCP-DUT-TX-MTU-950atten		0.045548	Throughput at specified settings.	Mbps	Throughput	0	0
