Channel,Frequency,Security,NSS,Cfg-Mode,Bandwidth,Pkt,Traffic-Type,Direction,Atten,Rotation,Duration,Offered-1m,Rx-Bps,Rx-Bps-1m,Rx-Bps-LL,Rx-Bps-3s,RSSI,Tx-Failed,Tx-Failed%,Tx-Rate,Rx-Rate,Rpt-Mode,Rpt-Mode-Brief
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,0,NA,60,7.602 Mbps,4.675 Mbps,4.644 Mbps,4.666 Mbps,14.304 Mbps,-32,0 / 43644,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,5.0,NA,60,7.635 Mbps,3.508 Mbps,4.465 Mbps,4.478 Mbps,7.172 Mbps,-37,0 / 44169,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,10.0,NA,60,7.737 Mbps,3.351 Mbps,4.265 Mbps,4.269 Mbps,0 bps,-39,0 / 42139,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,15.0,NA,60,7.858 Mbps,3.636 Mbps,4.384 Mbps,4.389 Mbps,0 bps,-42,0 / 42061,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,20.0,NA,60,7.66 Mbps,3.479 Mbps,4.43 Mbps,4.463 Mbps,11.106 Mbps,-48,0 / 39952,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,25.0,NA,60,7.844 Mbps,3.389 Mbps,4.316 Mbps,4.32 Mbps,0 bps,-54,0 / 42245,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,30.0,NA,60,7.78 Mbps,3.368 Mbps,4.293 Mbps,4.297 Mbps,0 bps,-58,0 / 42087,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,35.0,NA,60,7.688 Mbps,3.292 Mbps,4.193 Mbps,4.197 Mbps,0 bps,-62,0 / 41646,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,40.0,NA,60,7.747 Mbps,5.12 Mbps,6.167 Mbps,6.191 Mbps,6.197 Mbps,-67,0 / 33301,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,45.0,NA,60,4.193 Mbps,3.656 Mbps,3.791 Mbps,3.816 Mbps,3.783 Mbps,-72,0 / 19409,0,5.5 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,50.0,NA,60,9.21 Mbps,6.024 Mbps,6.03 Mbps,6.123 Mbps,5.949 Mbps,-77,0 / 31707,0,5.5 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,55.0,NA,60,8.45 Mbps,6.076 Mbps,6.081 Mbps,6.147 Mbps,6.083 Mbps,-79,0 / 33261,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,60.0,NA,60,7.689 Mbps,4.44 Mbps,4.437 Mbps,4.504 Mbps,2.621 Mbps,-79,0 / 37291,0,11 Mbps,11 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,65.0,NA,60,298.102 Kbps,304.906 Kbps,287.075 Kbps,288.972 Kbps,104.533 Kbps,-81,0 / 1826,0,1 Mbps,1 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,70.0,NA,60,178.607 Kbps,185.132 Kbps,179.767 Kbps,181.029 Kbps,50.397 Kbps,-80,0 / 1039,0,1 Mbps,1 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,75.0,NA,60,87.255 Kbps,80.92 Kbps,81.125 Kbps,81.982 Kbps,0 bps,-84,0 / 524,0,1 Mbps,0 bps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,80.0,NA,60,107.461 Kbps,63.856 Kbps,57.016 Kbps,58.566 Kbps,0 bps,-83,0 / 430,0,1 Mbps,0 bps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,85.0,NA,60,226.504 Kbps,56.921 Kbps,56.457 Kbps,56.508 Kbps,0 bps,-83,0 / 828,0,1 Mbps,0 bps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,90.0,NA,60,181.319 Kbps,125.94 Kbps,124.756 Kbps,126.961 Kbps,166.424 Kbps,-81,0 / 718,0,1 Mbps,1 Mbps,802.11b,802.11b
6,2437,WPA2,1,802.11b,20,MTU,TCP,DUT-TX,95.0,NA,60,280.742 Kbps,86.771 Kbps,85.006 Kbps,85.702 Kbps,0 bps,0,0 / 932,0,0 Mbps,0 bps,802.11b,802.11b
