Step Index,Position [Deg],Attenuation [dB],Throughput [Mbps],Beacon RSSI [dBm],Data RSSI [dBm]
0,NA,0,4.67,-31,-32
1,NA,5.00,3.51,-36,-37
2,NA,10.00,3.35,-36,-39
3,NA,15.00,3.64,-40,-42
4,NA,20.00,3.48,-46,-48
5,NA,25.00,3.39,-52,-54
6,NA,30.00,3.37,-56,-58
7,NA,35.00,3.29,-61,-62
8,NA,40.00,5.12,-65,-67
9,NA,45.00,3.66,-71,-72
10,NA,50.00,6.02,-76,-77
11,NA,55.00,6.08,-80,-79
12,NA,60.00,4.44,-82,-79
13,NA,65.00,0.30,-83,-81
14,NA,70.00,0.19,-85,-80
15,NA,75.00,0.08,-84,-84
16,NA,80.00,0.06,-83,-83
17,NA,85.00,0.06,-82,-83
18,NA,90.00,0.13,-84,-81
19,NA,95.00,0.09,0,0
