Step Index	Position [Deg]	Attenuation [dB]	Throughput [Mbps]	Beacon RSSI [dBm]	Data RSSI [dBm]
0	NA	0	144.12	-35	-39
1	NA	5.00	155.16	-40	-41
2	NA	10.00	155.50	-45	-47
3	NA	15.00	175.70	-51	-53
4	NA	20.00	177.50	-56	-58
5	NA	25.00	176.17	-62	-64
6	NA	30.00	176.20	-66	-68
7	NA	35.00	173.69	-71	-72
8	NA	40.00	148.51	-75	-78
9	NA	45.00	112.95	-79	-81
10	NA	50.00	97.73	-81	-85
11	NA	55.00	67.75	-82	-85
12	NA	60.00	62.61	-84	-87
13	NA	65.00	49.78	-85	-87
14	NA	70.00	49.01	-83	-84
15	NA	75.00	48.58	-83	-85
16	NA	80.00	48.50	-84	-85
17	NA	85.00	50.71	-84	-87
18	NA	90.00	49.21	-83	-86
19	NA	95.00	48.98	-84	-88
