"Realtime Throughput",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UL + DL Sum/RX (Mbps)",
"2021-10-27T06:00:32.488 UTC",0,"2021-10-27T06:00:32.488 UTC",0,"2021-10-27T06:00:32.488 UTC",0,
"2021-10-27T06:00:33.530 UTC",0,"2021-10-27T06:00:33.530 UTC",0,"2021-10-27T06:00:33.530 UTC",0,
"2021-10-27T06:00:34.717 UTC",0,"2021-10-27T06:00:34.717 UTC",0,"2021-10-27T06:00:34.717 UTC",0,
"2021-10-27T06:00:35.733 UTC",0,"2021-10-27T06:00:35.733 UTC",0,"2021-10-27T06:00:35.733 UTC",0,
"2021-10-27T06:00:36.747 UTC",0,"2021-10-27T06:00:36.747 UTC",0,"2021-10-27T06:00:36.747 UTC",0,
"2021-10-27T06:00:37.761 UTC",0,"2021-10-27T06:00:37.761 UTC",0,"2021-10-27T06:00:37.761 UTC",0,
"2021-10-27T06:00:38.775 UTC",0,"2021-10-27T06:00:38.775 UTC",0,"2021-10-27T06:00:38.775 UTC",0,
"2021-10-27T06:00:39.788 UTC",0,"2021-10-27T06:00:39.788 UTC",0,"2021-10-27T06:00:39.788 UTC",0,
"2021-10-27T06:00:40.801 UTC",0,"2021-10-27T06:00:40.801 UTC",0,"2021-10-27T06:00:40.801 UTC",0,
"2021-10-27T06:00:41.814 UTC",0,"2021-10-27T06:00:41.814 UTC",0,"2021-10-27T06:00:41.814 UTC",0,
"2021-10-27T06:00:42.831 UTC",0,"2021-10-27T06:00:42.831 UTC",0,"2021-10-27T06:00:42.831 UTC",0,
"2021-10-27T06:00:43.845 UTC",0,"2021-10-27T06:00:43.845 UTC",0,"2021-10-27T06:00:43.845 UTC",0,
"2021-10-27T06:00:44.859 UTC",0,"2021-10-27T06:00:44.859 UTC",107.0239,"2021-10-27T06:00:44.859 UTC",107.0239,
"2021-10-27T06:00:45.875 UTC",0,"2021-10-27T06:00:45.875 UTC",124.36811,"2021-10-27T06:00:45.875 UTC",124.36811,
"2021-10-27T06:00:46.891 UTC",0,"2021-10-27T06:00:46.891 UTC",111.11967,"2021-10-27T06:00:46.891 UTC",111.11967,
"2021-10-27T06:00:47.908 UTC",0,"2021-10-27T06:00:47.908 UTC",72.01061,"2021-10-27T06:00:47.908 UTC",72.01061,
"2021-10-27T06:00:48.925 UTC",0,"2021-10-27T06:00:48.925 UTC",124.25493,"2021-10-27T06:00:48.925 UTC",124.25493,
"2021-10-27T06:00:49.941 UTC",0,"2021-10-27T06:00:49.941 UTC",139.96646,"2021-10-27T06:00:49.941 UTC",139.96646,
"2021-10-27T06:00:50.956 UTC",0,"2021-10-27T06:00:50.956 UTC",187.2966,"2021-10-27T06:00:50.956 UTC",187.2966,
"2021-10-27T06:00:51.970 UTC",0,"2021-10-27T06:00:51.970 UTC",124.46218,"2021-10-27T06:00:51.970 UTC",124.46218,
"2021-10-27T06:00:52.981 UTC",0,"2021-10-27T06:00:52.981 UTC",119.88972,"2021-10-27T06:00:52.981 UTC",119.88972,
"2021-10-27T06:00:53.993 UTC",0,"2021-10-27T06:00:53.993 UTC",113.35854,"2021-10-27T06:00:53.993 UTC",113.35854,
"2021-10-27T06:00:55.005 UTC",0,"2021-10-27T06:00:55.005 UTC",107.08118,"2021-10-27T06:00:55.005 UTC",107.08118,
"2021-10-27T06:00:56.016 UTC",0,"2021-10-27T06:00:56.016 UTC",107.08118,"2021-10-27T06:00:56.016 UTC",107.08118,
"2021-10-27T06:00:57.029 UTC",0,"2021-10-27T06:00:57.029 UTC",103.38517,"2021-10-27T06:00:57.029 UTC",103.38517,
"2021-10-27T06:00:58.041 UTC",0,"2021-10-27T06:00:58.041 UTC",104.58586,"2021-10-27T06:00:58.041 UTC",104.58586,
"2021-10-27T06:00:59.052 UTC",0,"2021-10-27T06:00:59.052 UTC",103.52835,"2021-10-27T06:00:59.052 UTC",103.52835,
"2021-10-27T06:01:00.064 UTC",0,"2021-10-27T06:01:00.064 UTC",105.84963,"2021-10-27T06:01:00.064 UTC",105.84963,
"2021-10-27T06:01:01.077 UTC",0,"2021-10-27T06:01:01.077 UTC",104.8918,"2021-10-27T06:01:01.077 UTC",104.8918,
"2021-10-27T06:01:02.089 UTC",0,"2021-10-27T06:01:02.089 UTC",106.15546,"2021-10-27T06:01:02.089 UTC",106.15546,
"2021-10-27T06:01:03.101 UTC",0,"2021-10-27T06:01:03.101 UTC",104.85363,"2021-10-27T06:01:03.101 UTC",104.85363,
"2021-10-27T06:01:04.112 UTC",0,"2021-10-27T06:01:04.112 UTC",101.48456,"2021-10-27T06:01:04.112 UTC",101.48456,
"2021-10-27T06:01:05.127 UTC",0,"2021-10-27T06:01:05.127 UTC",98.76068,"2021-10-27T06:01:05.127 UTC",98.76068,
"2021-10-27T06:01:06.140 UTC",0,"2021-10-27T06:01:06.140 UTC",96.80887,"2021-10-27T06:01:06.140 UTC",96.80887,
"2021-10-27T06:01:07.152 UTC",0,"2021-10-27T06:01:07.152 UTC",98.53993,"2021-10-27T06:01:07.152 UTC",98.53993,
"2021-10-27T06:01:08.167 UTC",0,"2021-10-27T06:01:08.167 UTC",96.7518,"2021-10-27T06:01:08.167 UTC",96.7518,
"2021-10-27T06:01:09.179 UTC",0,"2021-10-27T06:01:09.179 UTC",98.37703,"2021-10-27T06:01:09.179 UTC",98.37703,
"2021-10-27T06:01:10.195 UTC",0,"2021-10-27T06:01:10.195 UTC",96.12585,"2021-10-27T06:01:10.195 UTC",96.12585,
"2021-10-27T06:01:11.207 UTC",0,"2021-10-27T06:01:11.207 UTC",95.41242,"2021-10-27T06:01:11.207 UTC",95.41242,
"2021-10-27T06:01:12.221 UTC",0,"2021-10-27T06:01:12.221 UTC",95.45169,"2021-10-27T06:01:12.221 UTC",95.45169,
"2021-10-27T06:01:13.232 UTC",0,"2021-10-27T06:01:13.232 UTC",96.99813,"2021-10-27T06:01:13.232 UTC",96.99813,
"2021-10-27T06:01:14.244 UTC",0,"2021-10-27T06:01:14.244 UTC",99.27814,"2021-10-27T06:01:14.244 UTC",99.27814,
"2021-10-27T06:01:15.257 UTC",0,"2021-10-27T06:01:15.257 UTC",102.22002,"2021-10-27T06:01:15.257 UTC",102.22002,
"2021-10-27T06:01:16.272 UTC",0,"2021-10-27T06:01:16.272 UTC",105.79071,"2021-10-27T06:01:16.272 UTC",105.79071,
"2021-10-27T06:01:17.283 UTC",0,"2021-10-27T06:01:17.283 UTC",104.17094,"2021-10-27T06:01:17.283 UTC",104.17094,
