"Endpoint RX Packet Loss Percentage",
Date,"cv_udp-1.1-1.wlan000--1.0.0-A/Packet Loss Percent",Date,"cv_udp-1.1-1.wlan000--1.0.0-B/Packet Loss Percent",Date,"cv_tcp-1.1-1.wlan000--1.0.0-A/Packet Loss Percent",Date,"cv_tcp-1.1-1.wlan000--1.0.0-B/Packet Loss Percent",
NA,NA,NA,NA,"2021-10-27T07:08:31.321 UTC",0,"2021-10-27T07:08:31.321 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:32.332 UTC",0,"2021-10-27T07:08:32.332 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:33.346 UTC",0,"2021-10-27T07:08:33.346 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:34.357 UTC",0,"2021-10-27T07:08:34.357 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:35.367 UTC",0,"2021-10-27T07:08:35.367 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:36.379 UTC",0,"2021-10-27T07:08:36.379 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:37.388 UTC",0,"2021-10-27T07:08:37.388 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:38.398 UTC",0,"2021-10-27T07:08:38.398 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:39.409 UTC",0,"2021-10-27T07:08:39.409 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:40.418 UTC",0,"2021-10-27T07:08:40.418 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:41.427 UTC",0,"2021-10-27T07:08:41.427 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:42.438 UTC",0,"2021-10-27T07:08:42.438 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:43.448 UTC",0,"2021-10-27T07:08:43.448 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:44.458 UTC",0,"2021-10-27T07:08:44.458 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:45.468 UTC",0,"2021-10-27T07:08:45.468 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:46.477 UTC",0,"2021-10-27T07:08:46.477 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:47.488 UTC",0,"2021-10-27T07:08:47.488 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:48.497 UTC",0,"2021-10-27T07:08:48.497 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:49.508 UTC",0,"2021-10-27T07:08:49.508 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:50.518 UTC",0,"2021-10-27T07:08:50.518 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:51.529 UTC",0,"2021-10-27T07:08:51.529 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:52.539 UTC",0,"2021-10-27T07:08:52.539 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:53.550 UTC",0,"2021-10-27T07:08:53.550 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:54.560 UTC",0,"2021-10-27T07:08:54.560 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:55.571 UTC",0,"2021-10-27T07:08:55.571 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:56.581 UTC",0,"2021-10-27T07:08:56.581 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:57.592 UTC",0,"2021-10-27T07:08:57.592 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:58.602 UTC",0,"2021-10-27T07:08:58.602 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:08:59.612 UTC",0,"2021-10-27T07:08:59.612 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:00.623 UTC",0,"2021-10-27T07:09:00.623 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:01.633 UTC",0,"2021-10-27T07:09:01.633 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:02.644 UTC",0,"2021-10-27T07:09:02.644 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:03.656 UTC",0,"2021-10-27T07:09:03.656 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:04.667 UTC",0,"2021-10-27T07:09:04.667 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:05.678 UTC",0,"2021-10-27T07:09:05.678 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:06.688 UTC",0,"2021-10-27T07:09:06.688 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:07.699 UTC",0,"2021-10-27T07:09:07.699 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:08.711 UTC",0,"2021-10-27T07:09:08.711 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:09.721 UTC",0,"2021-10-27T07:09:09.721 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:10.731 UTC",0,"2021-10-27T07:09:10.731 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:11.743 UTC",0,"2021-10-27T07:09:11.743 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:12.753 UTC",0,"2021-10-27T07:09:12.753 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:13.764 UTC",0,"2021-10-27T07:09:13.764 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:14.775 UTC",0,"2021-10-27T07:09:14.775 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:15.788 UTC",0,"2021-10-27T07:09:15.788 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:16.800 UTC",0,"2021-10-27T07:09:16.800 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:17.812 UTC",0,"2021-10-27T07:09:17.812 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:18.822 UTC",0,"2021-10-27T07:09:18.822 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:19.834 UTC",0,"2021-10-27T07:09:19.834 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:20.845 UTC",0,"2021-10-27T07:09:20.845 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:21.856 UTC",0,"2021-10-27T07:09:21.856 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:22.898 UTC",0,"2021-10-27T07:09:22.898 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:23.910 UTC",0,"2021-10-27T07:09:23.910 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:24.920 UTC",0,"2021-10-27T07:09:24.920 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:25.931 UTC",0,"2021-10-27T07:09:25.931 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:26.942 UTC",0,"2021-10-27T07:09:26.942 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:27.952 UTC",0,"2021-10-27T07:09:27.952 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:28.963 UTC",0,"2021-10-27T07:09:28.963 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:29.975 UTC",0,"2021-10-27T07:09:29.975 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:30.985 UTC",0,"2021-10-27T07:09:30.985 UTC",0,
NA,NA,NA,NA,"2021-10-27T07:09:31.995 UTC",0,"2021-10-27T07:09:31.995 UTC",0,
