"Realtime Mbps",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",
"2022-02-16T12:45:21.905 UTC",0,"2022-02-16T12:45:21.905 UTC",0,
"2022-02-16T12:45:22.913 UTC",0,"2022-02-16T12:45:22.913 UTC",0,
"2022-02-16T12:45:23.917 UTC",0,"2022-02-16T12:45:23.917 UTC",0,
"2022-02-16T12:45:24.922 UTC",0,"2022-02-16T12:45:24.922 UTC",0,
"2022-02-16T12:45:25.926 UTC",0,"2022-02-16T12:45:25.926 UTC",0,
"2022-02-16T12:45:26.930 UTC",0,"2022-02-16T12:45:26.930 UTC",0,
"2022-02-16T12:45:27.935 UTC",0,"2022-02-16T12:45:27.935 UTC",0,
"2022-02-16T12:45:28.939 UTC",0,"2022-02-16T12:45:28.939 UTC",0,
"2022-02-16T12:45:29.944 UTC",0,"2022-02-16T12:45:29.944 UTC",0,
"2022-02-16T12:45:30.949 UTC",0,"2022-02-16T12:45:30.949 UTC",0,
"2022-02-16T12:45:31.953 UTC",0,"2022-02-16T12:45:31.953 UTC",0,
"2022-02-16T12:45:32.958 UTC",0,"2022-02-16T12:45:32.958 UTC",0,
"2022-02-16T12:45:33.963 UTC",0,"2022-02-16T12:45:33.963 UTC",0,
"2022-02-16T12:45:34.970 UTC",0,"2022-02-16T12:45:34.970 UTC",0,
"2022-02-16T12:45:35.976 UTC",0,"2022-02-16T12:45:35.976 UTC",0,
"2022-02-16T12:45:36.981 UTC",0,"2022-02-16T12:45:36.981 UTC",0,
"2022-02-16T12:45:37.987 UTC",0,"2022-02-16T12:45:37.987 UTC",0,
"2022-02-16T12:45:38.993 UTC",0,"2022-02-16T12:45:38.993 UTC",0,
"2022-02-16T12:45:39.999 UTC",0,"2022-02-16T12:45:39.999 UTC",0,
"2022-02-16T12:45:41.006 UTC",0,"2022-02-16T12:45:41.006 UTC",0,
"2022-02-16T12:45:42.012 UTC",0,"2022-02-16T12:45:42.012 UTC",0,
"2022-02-16T12:45:43.019 UTC",0,"2022-02-16T12:45:43.019 UTC",0,
"2022-02-16T12:45:44.026 UTC",0,"2022-02-16T12:45:44.026 UTC",0,
"2022-02-16T12:45:45.030 UTC",0,"2022-02-16T12:45:45.030 UTC",0,
"2022-02-16T12:45:46.034 UTC",0,"2022-02-16T12:45:46.034 UTC",0,
"2022-02-16T12:45:47.038 UTC",0,"2022-02-16T12:45:47.038 UTC",0,
"2022-02-16T12:45:48.043 UTC",0,"2022-02-16T12:45:48.043 UTC",0,
"2022-02-16T12:45:49.048 UTC",0,"2022-02-16T12:45:49.048 UTC",0,
"2022-02-16T12:45:50.055 UTC",0,"2022-02-16T12:45:50.055 UTC",0,
"2022-02-16T12:45:51.061 UTC",0,"2022-02-16T12:45:51.061 UTC",0,
"2022-02-16T12:45:52.068 UTC",0,"2022-02-16T12:45:52.068 UTC",0,
"2022-02-16T12:45:53.075 UTC",0,"2022-02-16T12:45:53.075 UTC",0,
"2022-02-16T12:45:54.082 UTC",0,"2022-02-16T12:45:54.082 UTC",0,
"2022-02-16T12:45:55.088 UTC",0,"2022-02-16T12:45:55.088 UTC",0,
"2022-02-16T12:45:56.094 UTC",0,"2022-02-16T12:45:56.094 UTC",0,
"2022-02-16T12:45:57.101 UTC",0,"2022-02-16T12:45:57.101 UTC",0,
"2022-02-16T12:45:58.106 UTC",0,"2022-02-16T12:45:58.106 UTC",0,
"2022-02-16T12:45:59.111 UTC",0,"2022-02-16T12:45:59.111 UTC",0,
"2022-02-16T12:46:00.116 UTC",0,"2022-02-16T12:46:00.116 UTC",0,
"2022-02-16T12:46:01.120 UTC",0,"2022-02-16T12:46:01.120 UTC",0,
"2022-02-16T12:46:02.125 UTC",0,"2022-02-16T12:46:02.125 UTC",0,
"2022-02-16T12:46:03.129 UTC",0,"2022-02-16T12:46:03.129 UTC",0,
"2022-02-16T12:46:04.134 UTC",0,"2022-02-16T12:46:04.134 UTC",0,
"2022-02-16T12:46:05.138 UTC",0,"2022-02-16T12:46:05.138 UTC",0,
"2022-02-16T12:46:06.143 UTC",0,"2022-02-16T12:46:06.143 UTC",0,
"2022-02-16T12:46:07.147 UTC",0,"2022-02-16T12:46:07.147 UTC",0,
"2022-02-16T12:46:08.152 UTC",0,"2022-02-16T12:46:08.152 UTC",0,
"2022-02-16T12:46:09.156 UTC",0,"2022-02-16T12:46:09.156 UTC",0,
"2022-02-16T12:46:10.161 UTC",0,"2022-02-16T12:46:10.161 UTC",0,
"2022-02-16T12:46:11.165 UTC",0,"2022-02-16T12:46:11.165 UTC",0,
"2022-02-16T12:46:12.172 UTC",0,"2022-02-16T12:46:12.172 UTC",0,
"2022-02-16T12:46:13.179 UTC",0,"2022-02-16T12:46:13.179 UTC",0,
"2022-02-16T12:46:14.185 UTC",0,"2022-02-16T12:46:14.185 UTC",0,
"2022-02-16T12:46:15.190 UTC",0,"2022-02-16T12:46:15.190 UTC",0,
"2022-02-16T12:46:16.197 UTC",0,"2022-02-16T12:46:16.197 UTC",0,
"2022-02-16T12:46:17.201 UTC",0,"2022-02-16T12:46:17.201 UTC",0,
"2022-02-16T12:46:18.206 UTC",0,"2022-02-16T12:46:18.206 UTC",0,
"2022-02-16T12:46:19.211 UTC",0,"2022-02-16T12:46:19.211 UTC",0,
"2022-02-16T12:46:20.217 UTC",0,"2022-02-16T12:46:20.217 UTC",0,
"2022-02-16T12:46:21.222 UTC",0,"2022-02-16T12:46:21.222 UTC",0,
"2022-02-16T12:46:22.227 UTC",0,"2022-02-16T12:46:22.227 UTC",0,
"2022-02-16T12:46:23.232 UTC",0,"2022-02-16T12:46:23.232 UTC",0,
"2022-02-16T12:46:24.237 UTC",0,"2022-02-16T12:46:24.237 UTC",0,
"2022-02-16T12:46:25.242 UTC",0,"2022-02-16T12:46:25.242 UTC",0,
"2022-02-16T12:46:26.246 UTC",0,"2022-02-16T12:46:26.246 UTC",0,
"2022-02-16T12:46:27.366 UTC",0,"2022-02-16T12:46:27.366 UTC",0,
"2022-02-16T12:46:28.371 UTC",0,"2022-02-16T12:46:28.371 UTC",0,
"2022-02-16T12:46:29.376 UTC",0,"2022-02-16T12:46:29.376 UTC",0,
"2022-02-16T12:46:30.381 UTC",0,"2022-02-16T12:46:30.381 UTC",0,
"2022-02-16T12:46:31.386 UTC",0,"2022-02-16T12:46:31.386 UTC",0,
"2022-02-16T12:46:32.391 UTC",0,"2022-02-16T12:46:32.391 UTC",0,
"2022-02-16T12:46:33.395 UTC",0,"2022-02-16T12:46:33.395 UTC",0,
"2022-02-16T12:46:34.400 UTC",0,"2022-02-16T12:46:34.400 UTC",0,
"2022-02-16T12:46:35.405 UTC",0,"2022-02-16T12:46:35.405 UTC",0,
"2022-02-16T12:46:36.410 UTC",0,"2022-02-16T12:46:36.410 UTC",0,
"2022-02-16T12:46:37.417 UTC",0,"2022-02-16T12:46:37.417 UTC",0,
"2022-02-16T12:46:38.421 UTC",0,"2022-02-16T12:46:38.421 UTC",0,
"2022-02-16T12:46:39.426 UTC",0,"2022-02-16T12:46:39.426 UTC",0,
"2022-02-16T12:46:40.431 UTC",0,"2022-02-16T12:46:40.431 UTC",0,
"2022-02-16T12:46:41.436 UTC",0,"2022-02-16T12:46:41.436 UTC",0,
"2022-02-16T12:46:42.441 UTC",0,"2022-02-16T12:46:42.441 UTC",0,
"2022-02-16T12:46:43.445 UTC",0,"2022-02-16T12:46:43.445 UTC",0,
"2022-02-16T12:46:44.450 UTC",0,"2022-02-16T12:46:44.450 UTC",0,
"2022-02-16T12:46:45.455 UTC",0,"2022-02-16T12:46:45.455 UTC",0,
"2022-02-16T12:46:46.460 UTC",0,"2022-02-16T12:46:46.460 UTC",0,
"2022-02-16T12:46:47.465 UTC",0,"2022-02-16T12:46:47.465 UTC",0,
"2022-02-16T12:46:48.470 UTC",0,"2022-02-16T12:46:48.470 UTC",0,
"2022-02-16T12:46:49.475 UTC",0,"2022-02-16T12:46:49.475 UTC",0,
"2022-02-16T12:46:50.480 UTC",0,"2022-02-16T12:46:50.480 UTC",0,
"2022-02-16T12:46:51.485 UTC",0,"2022-02-16T12:46:51.485 UTC",0,
"2022-02-16T12:46:52.491 UTC",0,"2022-02-16T12:46:52.491 UTC",0,
"2022-02-16T12:46:53.496 UTC",0,"2022-02-16T12:46:53.496 UTC",0,
"2022-02-16T12:46:54.501 UTC",0,"2022-02-16T12:46:54.501 UTC",0,
"2022-02-16T12:46:55.506 UTC",0,"2022-02-16T12:46:55.506 UTC",0,
"2022-02-16T12:46:56.511 UTC",0,"2022-02-16T12:46:56.511 UTC",0,
