Port,Type,Value
sta01000,UDP-Download,119.604
sta01000,UDP-Upload,0
sta01000,total,119.604
sta01001,UDP-Download,119.41
sta01001,UDP-Upload,0
sta01001,total,119.41
sta01002,UDP-Download,119.431
sta01002,UDP-Upload,0
sta01002,total,119.431
sta01003,UDP-Download,119.905
sta01003,UDP-Upload,0
sta01003,total,119.905
sta01004,UDP-Download,120.071
sta01004,UDP-Upload,0
sta01004,total,120.071
sta01005,UDP-Download,118.88
sta01005,UDP-Upload,0
sta01005,total,118.88
sta01006,UDP-Download,118.658
sta01006,UDP-Upload,0
sta01006,total,118.658
sta01007,UDP-Download,118.889
sta01007,UDP-Upload,0
sta01007,total,118.889
