"Realtime Mbps",
Date,"Total Upload/RX (Mbps)",Date,"Total Download/RX (Mbps)",Date,"UDP DL/RX (Mbps)",
"2022-02-17T11:56:54.388 UTC",0,"2022-02-17T11:56:54.388 UTC",0,"2022-02-17T11:57:02.425 UTC",15.32725,
"2022-02-17T11:56:55.392 UTC",0,"2022-02-17T11:56:55.392 UTC",0,"2022-02-17T11:57:03.429 UTC",27.03797,
"2022-02-17T11:56:56.396 UTC",0,"2022-02-17T11:56:56.396 UTC",0,"2022-02-17T11:57:04.435 UTC",36.39665,
"2022-02-17T11:56:57.401 UTC",0,"2022-02-17T11:56:57.401 UTC",0,"2022-02-17T11:57:05.443 UTC",39.99317,
"2022-02-17T11:56:58.406 UTC",0,"2022-02-17T11:56:58.406 UTC",0,"2022-02-17T11:57:06.449 UTC",44.49359,
"2022-02-17T11:56:59.410 UTC",0,"2022-02-17T11:56:59.410 UTC",0,"2022-02-17T11:57:07.455 UTC",0,
"2022-02-17T11:57:00.415 UTC",0,"2022-02-17T11:57:00.415 UTC",0,"2022-02-17T11:57:08.461 UTC",66.73708,
"2022-02-17T11:57:01.420 UTC",0,"2022-02-17T11:57:01.420 UTC",0,"2022-02-17T11:57:09.468 UTC",64.25797,
"2022-02-17T11:57:02.425 UTC",0,"2022-02-17T11:57:02.425 UTC",15.32725,"2022-02-17T11:57:10.475 UTC",65.06958,
"2022-02-17T11:57:03.429 UTC",0,"2022-02-17T11:57:03.429 UTC",27.03797,"2022-02-17T11:57:11.482 UTC",63.69038,
"2022-02-17T11:57:04.435 UTC",0,"2022-02-17T11:57:04.435 UTC",36.39665,"2022-02-17T11:57:12.489 UTC",63.67106,
"2022-02-17T11:57:05.443 UTC",0,"2022-02-17T11:57:05.443 UTC",39.99317,"2022-02-17T11:57:13.496 UTC",63.70728,
"2022-02-17T11:57:06.449 UTC",0,"2022-02-17T11:57:06.449 UTC",44.49359,"2022-02-17T11:57:14.502 UTC",63.66874,
"2022-02-17T11:57:07.455 UTC",0,"2022-02-17T11:57:07.455 UTC",0,"2022-02-17T11:57:15.509 UTC",63.69962,
"2022-02-17T11:57:08.461 UTC",0,"2022-02-17T11:57:08.461 UTC",66.73708,"2022-02-17T11:57:16.516 UTC",63.68647,
"2022-02-17T11:57:09.468 UTC",0,"2022-02-17T11:57:09.468 UTC",64.25797,"2022-02-17T11:57:17.524 UTC",63.74102,
