TimeStamp,Name,EID,Resource,tx_pkts,rx_pkts,tx_bytes,rx_bytes,tx_errors,rx_errors,tx_dropped,rx_dropped_pkts,rx_multicast,rx_collisions,rx_length,rx_overrun,rx_crc,rx_frame,rx_fifo,rx_missed,tx_aborted,tx_carrier,tx_fifo,tx_heartbeat,tx_window,rx_signal,link_speed,rx_link_speed,frequency,channel,wifi_mode,portal_login_ok,portal_login_fail,portal_logout_ok,portal_logout_fail,dhcp_neg_ms,conn_count,last_conn_ms,connect_duration_us,disconn_duration_us,anqp_duration_us,4way_duration_us,phantom,down,IP,sec-ip-count,parent,pps-rx,bps-rx,pps-tx,bps-tx,bps-ll-tx,bytes-ll-tx,bps-ll-rx,bytes-ll-rx,reset-state,wifi-state,AP,wifi-link,wifi-noise,wifi-rxcrypt-failures,wifi-retry-failure,wifi-tx-fail-prcnt,wifi-misc-failure,beacon-miss,ssid,passwd,device-name,qlen,mtu,mask,gateway,mac,ipv6,ipv6-gw,port_type,BEACON_RX_SIGNAL,PORT_SUPPORTED_FLAGS_L,PORT_SUPPORTED_FLAGS_H,PORT_CUR_FLAGS_L,PORT_CUR_FLAGS_H
1645082575219,vrf10224,1.1.27,ct523c-3011,0,33,0,3859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,589,0,0,0,0,589,3859,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
1645082582421,vrf10224,1.1.27,ct523c-3011,0,36,0,4099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,550,0,0,0,0,550,4099,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
1645082589622,vrf10224,1.1.27,ct523c-3011,0,41,0,4499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,538,0,0,0,0,538,4499,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
1645082596903,vrf10224,1.1.27,ct523c-3011,0,44,0,4739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,511,0,0,0,0,511,4739,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
1645082604197,vrf10224,1.1.27,ct523c-3011,0,52,0,5651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,555,0,0,0,0,555,5651,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
1645082611458,vrf10224,1.1.27,ct523c-3011,0,54,0,6099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,550,0,0,0,0,550,6099,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
1645082618681,vrf10224,1.1.27,ct523c-3011,0,58,0,6419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,535,0,0,0,0,535,6419,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
1645082625919,vrf10224,1.1.27,ct523c-3011,0,63,0,6968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,540,0,0,0,0,540,6968,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
1645082633146,vrf10224,1.1.27,ct523c-3011,0,66,0,7208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,522,0,0,0,0,522,7208,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
1645082640348,vrf10224,1.1.27,ct523c-3011,0,71,0,7880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,536,0,0,0,0,536,7880,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
1645082647641,vrf10224,1.1.27,ct523c-3011,0,77,0,8360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,UNKNOWN,0,0,0,0,0,0,0,0,0,0,0,false,false,0.0.0.0,0,NA,0,535,0,0,0,0,535,8360,Complete,NA,NONE,0,0,0,0,0.0,0,0,NA,NA,vrf10224,1000,39,0.0.0.0,0.0.0.0,ee:31:0a:fe:60:6b,DELETED,DELETED,VRF,0,20000000,0,200,0
